customerid,joindate,city,segment,support_tickets
CUST_00211,2020-11-10,Medina,Retail,0
CUST_00212,2020-10-22,Mecca,Retail,0
CUST_00213,2021-12-17,Mecca,Corporate,0
CUST_00214,2021-05-20,Mecca,Retail,0
CUST_00215,2021-03-18,Dammam,Retail,0
CUST_00216,2020-08-22,Medina,Retail,0
CUST_00217,2022-02-22,Dammam,Retail,1
CUST_00218,2020-06-28,Mecca,Retail,0
CUST_00219,2020-10-11,Jeddah,Corporate,0
CUST_00220,2022-04-13,Mecca,Corporate,0
CUST_00221,2021-02-22,Dammam,Retail,0
CUST_00222,2020-06-13,Dammam,Retail,0
CUST_00223,2021-11-09,Mecca,VIP,0
CUST_00224,2021-04-10,Riyadh,Retail,0
CUST_00225,2022-03-02,Mecca,VIP,1
CUST_00226,2020-01-02,Medina,Retail,0
CUST_00227,2021-06-14,Dammam,Retail,0
CUST_00228,2021-03-28,Riyadh,Retail,0
CUST_00229,2020-10-21,Mecca,VIP,0
CUST_00230,2020-01-30,Medina,Retail,1
CUST_00231,2020-11-14,Medina,Retail,0
CUST_00232,2020-08-18,Riyadh,Retail,0
CUST_00233,2022-05-02,Jeddah,Retail,1
CUST_00234,2021-06-05,Dammam,Retail,0
CUST_00235,2021-04-28,Jeddah,Retail,0
CUST_00236,2020-07-14,Medina,Retail,1
CUST_00237,2022-06-03,Riyadh,Retail,1
CUST_00238,2021-02-28,Dammam,Corporate,0
CUST_00239,2022-04-20,Riyadh,Retail,0
CUST_00240,2021-08-24,Medina,Corporate,0
CUST_00241,2020-06-01,Mecca,Retail,0
CUST_00242,2021-07-19,Medina,Retail,2
CUST_00243,2022-06-09,Jeddah,Corporate,0
CUST_00244,2021-01-27,Jeddah,VIP,0
CUST_00245,2020-11-21,Mecca,Retail,1
CUST_00246,2021-01-30,Jeddah,Retail,0
CUST_00247,2021-05-29,Medina,Retail,0
CUST_00248,2022-05-15,Mecca,Retail,2
CUST_00249,2020-01-16,Jeddah,Retail,0
CUST_00250,2020-06-07,Riyadh,Retail,2
CUST_00251,2020-12-12,Medina,Retail,0
CUST_00252,2022-05-22,Dammam,VIP,1
CUST_00253,2021-01-24,Dammam,Retail,1
CUST_00254,2021-05-14,Medina,Retail,0
CUST_00255,2021-10-08,Dammam,Corporate,1
CUST_00256,2021-03-20,Riyadh,Retail,1
CUST_00257,2020-04-12,Mecca,Retail,0
CUST_00258,2020-01-30,Riyadh,Retail,0
CUST_00259,2021-01-02,Dammam,Retail,0
CUST_00260,2021-02-25,Medina,Retail,0
CUST_00261,2020-06-28,Riyadh,Retail,0
CUST_00262,2021-11-30,Jeddah,Retail,0
CUST_00263,2020-08-25,Mecca,Retail,0
CUST_00264,2021-11-13,Riyadh,VIP,0
CUST_00265,2020-10-21,Medina,Retail,0
CUST_00266,2020-12-19,Medina,Retail,2
CUST_00267,2021-12-07,Dammam,Retail,0
CUST_00268,2021-01-28,Mecca,Retail,0
CUST_00269,2021-01-02,Medina,Retail,0
CUST_00270,2020-01-23,Mecca,Retail,0
CUST_00271,2021-12-03,Riyadh,Corporate,1
CUST_00272,2022-05-02,Dammam,Retail,0
CUST_00273,2022-04-01,Dammam,Retail,0
CUST_00274,2020-09-13,Jeddah,Retail,2
CUST_00275,2021-10-23,Riyadh,Retail,0
CUST_00276,2021-08-16,Dammam,Retail,0
CUST_00277,2020-10-29,Dammam,Retail,0
CUST_00278,2020-05-15,Medina,VIP,0
CUST_00279,2021-05-28,Dammam,VIP,0
CUST_00280,2022-04-24,Mecca,Corporate,0
CUST_00281,2022-06-10,Dammam,VIP,0
CUST_00282,2020-03-18,Jeddah,Retail,0
CUST_00283,2021-11-23,Mecca,Corporate,1
CUST_00284,2021-01-09,Riyadh,Retail,0
CUST_00285,2021-07-03,Riyadh,Retail,0
CUST_00286,2021-11-19,Dammam,Retail,1
CUST_00287,2021-01-15,Riyadh,Retail,0
CUST_00288,2021-09-26,Medina,Retail,0
CUST_00289,2021-10-25,Riyadh,Retail,0
CUST_00290,2021-12-18,Dammam,Retail,0
CUST_00291,2020-02-16,Riyadh,Retail,0
CUST_00292,2020-04-09,Jeddah,VIP,0
CUST_00293,2021-04-09,Dammam,Retail,1
CUST_00294,2021-07-07,Mecca,Retail,1
CUST_00295,2021-02-28,Riyadh,VIP,0
CUST_00296,2020-10-13,Riyadh,Retail,0
CUST_00297,2021-03-31,Jeddah,VIP,0
CUST_00298,2021-12-03,Dammam,Retail,3
CUST_00299,2021-01-02,Riyadh,Retail,0
CUST_00300,2020-05-05,Mecca,Retail,0
CUST_00301,2021-10-16,Medina,Corporate,0
CUST_00302,2020-12-07,Jeddah,Corporate,1
CUST_00303,2020-07-29,Riyadh,VIP,0
CUST_00304,2021-08-23,Jeddah,VIP,0
CUST_00305,2022-03-03,Jeddah,Retail,0
CUST_00306,2020-10-10,Jeddah,Corporate,0
CUST_00307,2022-03-28,Jeddah,Retail,1
CUST_00308,2020-05-14,Riyadh,Retail,1
CUST_00309,2021-08-25,Dammam,Retail,0
CUST_00310,2020-05-09,Mecca,Retail,1
CUST_00311,2021-05-02,Mecca,Retail,0
CUST_00312,2020-04-21,Mecca,Retail,2
CUST_00313,2020-02-14,Medina,Retail,0
CUST_00314,2020-02-01,Riyadh,Corporate,1
CUST_00315,2021-03-12,Riyadh,Retail,2
CUST_00316,2020-03-16,Riyadh,Retail,0
CUST_00317,2020-05-09,Dammam,Retail,0
CUST_00318,2021-12-30,Dammam,Retail,0
CUST_00319,2020-10-28,Mecca,Retail,0
CUST_00320,2022-03-23,Riyadh,VIP,0
CUST_00321,2022-02-26,Medina,Retail,0
CUST_00322,2021-04-07,Jeddah,Retail,1
CUST_00323,2021-02-12,Mecca,Retail,0
CUST_00324,2020-11-16,Dammam,Retail,0
CUST_00325,2021-04-30,Riyadh,Retail,0
CUST_00326,2021-03-18,Riyadh,Retail,0
CUST_00327,2020-05-13,Medina,Retail,2
CUST_00328,2021-07-29,Dammam,Retail,0
CUST_00329,2022-06-13,Mecca,VIP,1
CUST_00330,2020-10-21,Medina,Retail,0
CUST_00331,2021-06-03,Jeddah,Retail,0
CUST_00332,2022-05-17,Riyadh,Retail,0
CUST_00333,2020-04-27,Dammam,Retail,1
CUST_00334,2022-05-15,Medina,Corporate,1
CUST_00335,2021-09-20,Medina,Retail,2
CUST_00336,2022-04-29,Dammam,Retail,0
CUST_00337,2022-02-19,Dammam,Corporate,0
CUST_00338,2020-07-04,Jeddah,Retail,0
CUST_00339,2020-05-25,Riyadh,Retail,0
CUST_00340,2021-01-20,Mecca,Retail,0
CUST_00341,2020-11-15,Dammam,Retail,0
CUST_00342,2020-03-27,Riyadh,Retail,1
CUST_00343,2020-02-20,Riyadh,Retail,0
CUST_00344,2021-05-12,Medina,Retail,0
CUST_00345,2022-02-12,Medina,Retail,0
CUST_00346,2020-10-17,Medina,Retail,0
CUST_00347,2020-02-16,Jeddah,Retail,0
CUST_00348,2020-01-08,Jeddah,Retail,0
CUST_00349,2020-05-20,Dammam,Retail,0
CUST_00350,2021-05-24,Mecca,Retail,0
CUST_00351,2021-12-21,Jeddah,Retail,1
CUST_00352,2022-04-05,Dammam,Retail,1
CUST_00353,2020-02-13,Mecca,Retail,2
CUST_00354,2022-06-01,Dammam,Retail,0
CUST_00355,2021-12-27,Mecca,Retail,0
CUST_00356,2020-11-28,Jeddah,VIP,0
CUST_00357,2022-05-01,Dammam,Retail,1
CUST_00358,2020-09-06,Mecca,Retail,0
CUST_00359,2021-02-09,Dammam,Retail,0
CUST_00360,2022-03-08,Jeddah,Retail,0
CUST_00361,2021-06-27,Medina,Retail,1
CUST_00362,2020-12-25,Jeddah,Retail,0
CUST_00363,2020-07-21,Jeddah,Retail,1
CUST_00364,2021-11-02,Riyadh,Retail,1
CUST_00365,2021-05-20,Mecca,Retail,1
CUST_00366,2021-04-04,Medina,Retail,3
CUST_00367,2020-11-26,Dammam,Retail,0
CUST_00368,2021-03-28,Dammam,Retail,0
CUST_00369,2020-12-26,Medina,Retail,0
CUST_00370,2020-02-08,Riyadh,Retail,0
CUST_00371,2021-10-22,Riyadh,Retail,0
CUST_00372,2021-04-18,Medina,Retail,1
CUST_00373,2020-02-12,Mecca,Corporate,0
CUST_00374,2020-07-11,Dammam,Retail,0
CUST_00375,2020-03-04,Mecca,Retail,1
CUST_00376,2020-12-17,Riyadh,Retail,0
CUST_00377,2020-09-10,Mecca,Corporate,0
CUST_00378,2021-09-16,Jeddah,Retail,2
CUST_00379,2021-01-31,Mecca,Retail,0
CUST_00380,2020-02-23,Dammam,Retail,0
CUST_00381,2021-11-25,Mecca,Retail,1
CUST_00382,2021-11-03,Medina,VIP,0
CUST_00383,2021-08-19,Jeddah,Corporate,0
CUST_00384,2021-11-02,Mecca,Retail,1
CUST_00385,2020-03-27,Dammam,Retail,0
CUST_00386,2020-12-02,Jeddah,Retail,1
CUST_00387,2022-01-26,Medina,Retail,0
CUST_00388,2021-06-04,Dammam,Retail,0
CUST_00389,2020-08-07,Dammam,Corporate,0
CUST_00390,2020-08-19,Jeddah,Retail,0
CUST_00391,2022-03-18,Riyadh,Retail,0
CUST_00392,2022-01-26,Medina,Retail,0
CUST_00393,2022-02-23,Medina,Retail,0
CUST_00394,2020-06-15,Jeddah,VIP,1
CUST_00395,2022-04-08,Jeddah,Retail,0
CUST_00396,2021-01-08,Jeddah,Corporate,0
CUST_00397,2022-02-09,Mecca,Retail,0
CUST_00398,2022-04-08,Mecca,Corporate,0
CUST_00399,2021-11-25,Medina,Corporate,0
CUST_00400,2020-10-15,Mecca,Retail,0
CUST_00401,2020-06-14,Jeddah,VIP,0
CUST_00402,2020-09-13,Riyadh,Retail,1
CUST_00403,2021-07-21,Riyadh,Retail,0
CUST_00404,2020-05-07,Dammam,Retail,0
CUST_00405,2021-04-05,Medina,Retail,0
CUST_00406,2020-08-15,Mecca,VIP,2
CUST_00407,2021-02-28,Riyadh,Retail,0
CUST_00408,2021-01-30,Riyadh,Retail,0
CUST_00409,2020-04-11,Dammam,Retail,0
CUST_00410,2020-10-20,Mecca,Retail,0
CUST_00411,2021-12-23,Mecca,Retail,0
CUST_00412,2020-03-22,Riyadh,Retail,1
CUST_00413,2021-07-15,Medina,Retail,0
CUST_00414,2020-10-22,Jeddah,Retail,0
CUST_00415,2021-03-05,Medina,Retail,0
CUST_00416,2021-05-26,Medina,Retail,0
CUST_00417,2021-08-11,Jeddah,Retail,0
CUST_00418,2020-01-02,Medina,Retail,0
CUST_00419,2020-07-10,Riyadh,Retail,0
CUST_00420,2021-06-22,Medina,Retail,3
CUST_00421,2021-07-21,Riyadh,Retail,0
CUST_00422,2021-10-12,Mecca,Corporate,0
CUST_00423,2020-01-17,Dammam,Retail,0
CUST_00424,2022-01-20,Riyadh,Retail,1
CUST_00425,2020-12-06,Jeddah,Retail,0
CUST_00426,2022-04-13,Jeddah,VIP,0
CUST_00427,2021-12-13,Mecca,Retail,1
CUST_00428,2020-03-05,Mecca,Retail,0
CUST_00429,2022-03-21,Jeddah,VIP,0
CUST_00430,2020-11-13,Medina,Retail,1
CUST_00431,2021-04-29,Dammam,Retail,0
CUST_00432,2020-10-19,Dammam,VIP,0
CUST_00433,2021-11-02,Dammam,Retail,1
CUST_00434,2021-03-23,Mecca,Retail,1
CUST_00435,2021-01-30,Dammam,Corporate,0
CUST_00436,2021-05-24,Dammam,Corporate,0
CUST_00437,2022-03-31,Riyadh,Retail,0
CUST_00438,2021-09-08,Jeddah,Retail,0
CUST_00439,2020-03-22,Dammam,Retail,0
CUST_00440,2021-09-09,Mecca,Retail,0
CUST_00441,2021-04-02,Riyadh,Retail,2
CUST_00442,2021-09-21,Mecca,Retail,3
CUST_00443,2020-02-28,Riyadh,Retail,0
CUST_00444,2021-06-09,Jeddah,Corporate,0
CUST_00445,2021-09-14,Mecca,Retail,0
CUST_00446,2022-03-08,Dammam,Retail,2
CUST_00447,2020-02-03,Medina,Retail,0
CUST_00448,2021-01-14,Dammam,Retail,0
CUST_00449,2020-05-20,Medina,Retail,0
CUST_00450,2020-10-12,Jeddah,Corporate,0
CUST_00451,2020-07-09,Mecca,Retail,2
CUST_00452,2020-04-30,Dammam,Retail,1
CUST_00453,2020-08-07,Medina,Retail,2
CUST_00454,2021-05-17,Jeddah,Retail,1
CUST_00455,2021-04-07,Jeddah,VIP,0
CUST_00456,2020-03-30,Dammam,Retail,1
CUST_00457,2021-07-17,Medina,Retail,0
CUST_00458,2020-06-10,Jeddah,Retail,0
CUST_00459,2020-05-04,Jeddah,Retail,0
CUST_00460,2021-05-20,Riyadh,Retail,0
CUST_00461,2021-04-23,Medina,Retail,1
CUST_00462,2020-03-08,Dammam,Retail,1
CUST_00463,2021-05-05,Medina,Retail,0
CUST_00464,2021-08-11,Riyadh,Retail,0
CUST_00465,2020-03-16,Mecca,Retail,0
CUST_00466,2020-05-11,Medina,Retail,0
CUST_00467,2020-05-12,Mecca,Retail,1
CUST_00468,2022-05-01,Riyadh,Retail,0
CUST_00469,2020-06-14,Dammam,Corporate,0
CUST_00470,2021-06-15,Dammam,VIP,0
CUST_00471,2021-10-12,Medina,Retail,0
CUST_00472,2021-09-21,Medina,Retail,0
CUST_00473,2021-08-29,Medina,Retail,0
CUST_00474,2022-01-07,Medina,Retail,2
CUST_00475,2020-02-12,Riyadh,Retail,2
CUST_00476,2022-02-28,Medina,Retail,0
CUST_00477,2021-08-08,Mecca,Retail,0
CUST_00478,2021-10-04,Medina,Retail,2
CUST_00479,2021-05-09,Jeddah,VIP,0
CUST_00480,2020-10-31,Mecca,Retail,0
CUST_00481,2021-03-26,Mecca,Retail,0
CUST_00482,2021-09-13,Jeddah,Retail,1
CUST_00483,2022-01-21,Dammam,Corporate,0
CUST_00484,2021-01-14,Medina,Retail,0
CUST_00485,2021-04-22,Riyadh,Retail,0
CUST_00486,2020-04-09,Riyadh,Retail,0
CUST_00487,2021-09-22,Mecca,Retail,1
CUST_00488,2020-06-12,Dammam,Corporate,1
CUST_00489,2020-07-13,Jeddah,Retail,0
CUST_00490,2021-05-25,Dammam,Retail,0
CUST_00491,2021-02-06,Medina,Retail,0
CUST_00492,2021-08-20,Dammam,Retail,0
CUST_00493,2021-09-03,Mecca,Retail,0
CUST_00494,2020-04-20,Mecca,Retail,0
CUST_00495,2021-01-09,Mecca,Retail,0
CUST_00496,2021-08-06,Medina,Retail,0
CUST_00497,2020-03-16,Mecca,Retail,1
CUST_00498,2020-10-13,Medina,Retail,0
CUST_00499,2020-04-09,Mecca,Retail,3
CUST_00500,2021-07-25,Dammam,Retail,0
CUST_00501,2021-06-05,Mecca,Retail,0
CUST_00502,2020-05-20,Dammam,VIP,0
CUST_00503,2020-06-01,Medina,VIP,0
CUST_00504,2021-09-19,Dammam,Retail,3
CUST_00505,2022-01-27,Dammam,Retail,0
CUST_00506,2021-06-05,Medina,Retail,0
CUST_00507,2021-05-01,Riyadh,Retail,0
CUST_00508,2021-03-02,Medina,Retail,1
CUST_00509,2022-06-12,Riyadh,Retail,0
CUST_00510,2021-11-02,Medina,Retail,1
CUST_00511,2021-08-20,Mecca,Retail,0
CUST_00512,2021-09-26,Mecca,Retail,0
CUST_00513,2020-02-02,Medina,Corporate,0
CUST_00514,2020-01-20,Mecca,Retail,0
CUST_00515,2021-12-08,Jeddah,Retail,1
CUST_00516,2021-04-27,Riyadh,Retail,0
CUST_00517,2021-07-28,Dammam,Corporate,0
CUST_00518,2021-01-20,Dammam,Corporate,0
CUST_00519,2021-06-29,Dammam,Retail,0
CUST_00520,2022-06-07,Dammam,Retail,0
CUST_00521,2020-09-09,Dammam,Retail,0
CUST_00522,2020-10-31,Dammam,Retail,0
CUST_00523,2021-05-15,Dammam,Retail,0
CUST_00524,2022-03-25,Dammam,Retail,0
CUST_00525,2021-07-10,Mecca,VIP,0
CUST_00526,2020-12-19,Jeddah,Retail,0
CUST_00527,2022-01-01,Riyadh,Retail,0
CUST_00528,2020-09-19,Mecca,Retail,1
CUST_00529,2020-10-04,Medina,Retail,0
CUST_00530,2021-09-22,Medina,Retail,0
CUST_00531,2021-06-27,Jeddah,Retail,0
CUST_00532,2021-02-27,Dammam,Retail,0
CUST_00533,2022-02-28,Jeddah,Retail,0
CUST_00534,2020-06-10,Mecca,Retail,1
CUST_00535,2021-05-02,Mecca,Retail,1
CUST_00536,2020-10-21,Dammam,Retail,0
CUST_00537,2022-02-26,Riyadh,Retail,0
CUST_00538,2022-01-26,Riyadh,Corporate,0
CUST_00539,2022-05-07,Jeddah,Corporate,0
CUST_00540,2022-05-06,Mecca,Retail,0
CUST_00541,2022-02-05,Dammam,VIP,0
CUST_00542,2021-08-04,Medina,Retail,3
CUST_00543,2020-10-18,Mecca,Corporate,0
CUST_00544,2021-05-20,Jeddah,VIP,0
CUST_00545,2020-07-16,Riyadh,Retail,1
CUST_00546,2021-10-25,Dammam,Retail,0
CUST_00547,2020-12-11,Dammam,Retail,1
CUST_00548,2020-06-28,Medina,VIP,1
CUST_00549,2022-04-26,Mecca,Retail,0
CUST_00550,2021-11-16,Riyadh,Retail,0
CUST_00551,2020-11-27,Jeddah,Retail,0
