customerid,lasttouch,leadscore,city,nps_score,clv
C00043,2025-07-22 23:14:55,34,Riyadh,99,3980.17
C00044,2024-12-05 23:14:55,87,Khobar,49,3565.16
C00045,2025-01-09 23:14:55,60,Khobar,70,14027.63
C00046,2025-07-30 23:14:55,58,Mecca,47,9357.66
C00047,2025-04-23 23:14:55,77,Khobar,33,11814.37
C00048,2025-01-22 23:14:55,29,Medina,39,5105.12
C00049,2025-06-16 23:14:55,51,Riyadh,81,4608.44
C00050,2025-07-15 23:14:55,54,Khobar,46,2734.89
C00051,2025-02-04 23:14:55,91,Jeddah,26,9572.36
C00052,2025-05-20 23:14:55,87,Medina,85,1661.32
C00053,2024-12-19 23:14:55,10,Riyadh,87,4995.98
C00054,2025-04-27 23:14:55,32,Riyadh,24,11620.76
C00055,2025-09-12 23:14:55,88,Dammam,100,9102.93
C00056,2025-05-09 23:14:55,88,Medina,100,12942.02
C00057,2025-08-17 23:14:55,17,Khobar,82,8238.31
C00058,2024-08-28 23:14:55,43,Medina,93,11524.34
C00059,2025-05-27 23:14:55,53,Khobar,20,6049.0
C00060,2025-01-07 23:14:55,68,Jeddah,43,14100.17
C00061,2024-12-26 23:14:55,27,Mecca,24,6866.83
C00062,2025-08-07 23:14:55,24,Khobar,50,4534.18
C00063,2024-08-13 23:14:55,65,Dammam,63,14709.74
C00064,2024-11-15 23:14:55,63,Khobar,91,1730.82
C00065,2025-05-12 23:14:55,33,Mecca,27,2103.64
C00066,2025-05-04 23:14:55,10,Riyadh,32,7327.55
C00067,2024-10-01 23:14:55,30,Medina,91,1289.13
C00068,2024-11-04 23:14:55,98,Riyadh,100,13721.5
C00069,2024-08-21 23:14:55,99,Riyadh,59,3175.11
C00070,2025-08-11 23:14:55,28,Dammam,53,9531.96
C00071,2025-01-06 23:14:55,42,Dammam,21,10512.41
C00072,2024-11-01 23:14:55,46,Medina,20,14766.59
C00073,2025-05-12 23:14:55,67,Medina,90,1559.37
C00074,2025-04-21 23:14:55,18,Mecca,34,8778.37
C00075,2024-12-17 23:14:55,69,Khobar,48,6319.6
C00076,2025-08-19 23:14:55,62,Mecca,49,4002.21
C00077,2025-03-07 23:14:55,20,Khobar,45,594.53
C00078,2025-03-19 23:14:55,69,Riyadh,43,3533.44
C00079,2025-03-06 23:14:55,36,Riyadh,43,6810.27
C00080,2024-11-28 23:14:55,24,Medina,84,2598.39
C00081,2025-05-24 23:14:55,25,Jeddah,72,7319.28
C00082,2025-02-11 23:14:55,27,Riyadh,96,13189.24
C00083,2025-02-13 23:14:55,99,Riyadh,90,1029.02
C00084,2025-01-17 23:14:55,52,Riyadh,59,8358.52
C00085,2025-07-28 23:14:55,46,Jeddah,57,12267.0
C00086,2024-10-16 23:14:55,41,Jeddah,48,5193.89
C00087,2025-06-26 23:14:55,95,Jeddah,32,4761.6
C00088,2025-08-19 23:14:55,28,Dammam,47,10086.72
C00089,2025-06-19 23:14:55,48,Dammam,83,4634.05
C00090,2025-02-23 23:14:55,77,Khobar,81,14558.88
C00091,2025-07-08 23:14:55,73,Jeddah,30,8285.25
C00092,2025-03-16 23:14:55,19,Medina,49,7033.19
C00093,2025-05-30 23:14:55,99,Khobar,64,10671.55
C00094,2024-09-01 23:14:55,84,Medina,77,13321.31
C00095,2024-11-11 23:14:55,68,Jeddah,89,14751.36
C00096,2025-09-05 23:14:55,81,Riyadh,83,7617.94
C00097,2025-04-18 23:14:55,22,Medina,78,7704.67
C00098,2025-02-11 23:14:55,70,Mecca,99,9760.24
C00099,2025-05-22 23:14:55,88,Jeddah,47,6558.79
C00100,2025-05-24 23:14:55,83,Medina,58,11086.56
C00101,2024-11-13 23:14:55,85,Medina,62,12160.89
C00102,2025-06-11 23:14:55,13,Dammam,36,817.82
C00103,2025-04-04 23:14:55,30,Dammam,35,973.94
C00104,2024-12-11 23:14:55,22,Jeddah,35,12473.79
C00105,2025-05-04 23:14:55,63,Mecca,87,9503.46
C00106,2025-05-12 23:14:55,78,Riyadh,95,10911.28
C00107,2025-05-20 23:14:55,41,Riyadh,29,3214.21
C00108,2025-02-05 23:14:55,35,Medina,56,8643.45
C00109,2025-05-26 23:14:55,51,Riyadh,37,11177.46
C00110,2024-11-07 23:14:55,35,Dammam,82,11229.53
C00111,2025-07-18 23:14:55,15,Khobar,55,1536.88
C00112,2025-02-22 23:14:55,33,Medina,91,13778.5
C00113,2024-09-19 23:14:55,23,Dammam,20,3787.26
C00114,2025-09-10 23:14:55,19,Jeddah,72,4151.98
C00115,2025-08-23 23:14:55,44,Khobar,23,3455.74
C00116,2024-11-03 23:14:55,99,Dammam,79,11316.28
C00117,2024-10-12 23:14:55,61,Dammam,36,1774.88
C00118,2024-12-17 23:14:55,81,Dammam,22,6579.22
C00119,2025-08-26 23:14:55,45,Riyadh,51,12649.2
C00120,2024-12-30 23:14:55,85,Dammam,30,1661.74
C00121,2024-10-17 23:14:55,75,Jeddah,38,1095.47
C00122,2024-11-22 23:14:55,24,Jeddah,41,51.19
C00123,2025-06-30 23:14:55,42,Khobar,56,1002.67
C00124,2025-04-05 23:14:55,12,Riyadh,28,10041.13
C00125,2025-02-12 23:14:55,63,Jeddah,57,14655.91
C00126,2025-08-04 23:14:55,53,Medina,22,9098.41
C00127,2025-03-09 23:14:55,73,Jeddah,62,5818.29
C00128,2025-07-31 23:14:55,19,Riyadh,49,3827.84
C00129,2025-08-05 23:14:55,53,Khobar,48,12508.67
C00130,2024-11-10 23:14:55,38,Dammam,32,3924.92
C00131,2025-05-18 23:14:55,87,Medina,37,13424.62
C00132,2024-12-23 23:14:55,92,Jeddah,39,11695.47
C00133,2025-05-30 23:14:55,56,Mecca,98,12755.66
C00134,2025-05-12 23:14:55,45,Mecca,81,12398.02
C00135,2025-06-20 23:14:55,64,Dammam,41,10968.74
C00136,2025-01-29 23:14:55,23,Riyadh,96,11454.13
C00137,2025-05-17 23:14:55,83,Mecca,32,6338.12
C00138,2025-06-20 23:14:55,66,Dammam,76,12864.92
C00139,2025-06-04 23:14:55,10,Jeddah,89,7157.08
C00140,2025-07-06 23:14:55,96,Mecca,52,13169.1
C00141,2025-05-17 23:14:55,60,Dammam,56,7899.12
C00142,2025-08-24 23:14:55,11,Mecca,41,9985.35
C00143,2025-03-16 23:14:55,94,Dammam,56,187.63
C00144,2024-09-15 23:14:55,44,Dammam,100,14321.72
C00145,2025-03-02 23:14:55,95,Riyadh,78,6365.99
C00146,2025-08-11 23:14:55,72,Dammam,38,7287.76
C00147,2025-01-01 23:14:55,100,Mecca,60,11342.94
C00148,2025-06-25 23:14:55,83,Riyadh,34,14794.2
C00149,2025-06-01 23:14:55,91,Jeddah,69,4901.04
C00150,2025-03-27 23:14:55,65,Mecca,57,3914.67
C00151,2025-05-03 23:14:55,85,Khobar,45,115.96
C00152,2025-08-07 23:14:55,57,Jeddah,98,67.28
C00153,2024-12-01 23:14:55,33,Khobar,52,14239.77
C00154,2025-05-15 23:14:55,16,Dammam,94,2504.33
C00155,2024-10-04 23:14:55,74,Khobar,48,11742.85
C00156,2025-06-02 23:14:55,59,Dammam,54,14456.36
C00157,2025-03-08 23:14:55,59,Mecca,74,3045.71
C00158,2024-11-14 23:14:55,93,Jeddah,25,5714.01
C00159,2024-11-25 23:14:55,50,Mecca,90,843.42
C00160,2024-08-26 23:14:55,46,Medina,98,4097.8
C00161,2025-02-25 23:14:55,62,Medina,58,4703.89
C00162,2025-03-09 23:14:55,18,Dammam,62,6973.0
C00163,2025-01-08 23:14:55,94,Medina,93,2325.48
C00164,2025-05-18 23:14:55,16,Mecca,21,14776.54
C00165,2024-12-18 23:14:55,74,Medina,45,14102.47
C00166,2025-04-24 23:14:55,83,Khobar,36,13682.2
C00167,2025-04-30 23:14:55,47,Khobar,62,4952.88
C00168,2025-08-23 23:14:55,70,Riyadh,59,12626.54
C00169,2025-06-18 23:14:55,89,Khobar,85,2166.99
C00170,2024-12-09 23:14:55,12,Jeddah,45,10692.16
C00171,2024-11-20 23:14:55,97,Mecca,55,4056.56
C00172,2025-08-18 23:14:55,11,Mecca,28,104.89
C00173,2025-03-29 23:14:55,65,Medina,87,14876.86
C00174,2024-11-22 23:14:55,71,Mecca,80,8977.87
C00175,2025-05-22 23:14:55,65,Jeddah,52,13563.8
C00176,2024-11-06 23:14:55,58,Riyadh,58,4556.99
C00177,2024-10-06 23:14:55,29,Jeddah,34,12360.15
C00178,2024-11-19 23:14:55,62,Medina,86,9123.38
C00179,2025-06-19 23:14:55,98,Jeddah,84,6515.26
C00180,2025-01-07 23:14:55,84,Mecca,78,14403.42
C00181,2024-11-20 23:14:55,39,Khobar,57,7525.27
C00182,2025-04-03 23:14:55,89,Medina,75,14515.27
C00183,2025-06-09 23:14:55,56,Medina,80,1922.38
C00184,2024-10-08 23:14:55,35,Mecca,30,4772.14
C00185,2024-08-13 23:14:55,96,Mecca,71,548.32
C00186,2024-09-26 23:14:55,68,Mecca,95,4321.7
C00187,2025-08-09 23:14:55,50,Khobar,78,4818.72
C00188,2025-07-14 23:14:55,13,Mecca,24,1206.17
C00189,2025-03-09 23:14:55,49,Mecca,59,6918.83
C00190,2025-08-12 23:14:55,32,Jeddah,53,14775.69
C00191,2025-01-05 23:14:55,40,Medina,81,10194.06
C00192,2024-09-22 23:14:55,79,Jeddah,54,7689.64
C00193,2025-08-25 23:14:55,100,Khobar,27,2242.9
C00194,2025-09-11 23:14:55,97,Mecca,48,2562.81
C00195,2024-12-22 23:14:55,73,Mecca,26,6655.22
C00196,2024-12-20 23:14:55,83,Mecca,69,10731.15
C00197,2025-01-11 23:14:55,77,Khobar,50,11968.87
C00198,2024-10-09 23:14:55,27,Mecca,67,9997.59
C00199,2024-11-11 23:14:55,100,Dammam,33,11812.5
C00200,2024-09-10 23:14:55,56,Medina,77,3479.68
C00201,2025-06-14 23:14:55,28,Medina,43,3675.17
C00202,2025-07-06 23:14:55,61,Jeddah,24,1397.02
C00203,2025-03-14 23:14:55,46,Riyadh,38,5930.14
C00204,2024-09-06 23:14:55,100,Khobar,87,7833.11
C00205,2025-05-31 23:14:55,31,Mecca,27,13710.59
C00206,2024-11-03 23:14:55,83,Medina,100,1246.24
C00207,2025-04-27 23:14:55,29,Medina,46,4697.51
C00208,2025-06-09 23:14:55,93,Riyadh,99,9741.08
C00209,2025-08-25 23:14:55,63,Mecca,30,10569.81
C00210,2025-04-28 23:14:55,52,Mecca,71,10445.5
C00211,2025-01-09 23:14:55,28,Dammam,76,7689.65
C00212,2025-01-11 23:14:55,35,Dammam,22,2050.3
C00213,2024-09-12 23:14:55,36,Dammam,95,12415.23
C00214,2024-12-02 23:14:55,47,Riyadh,81,10474.63
C00215,2025-08-04 23:14:55,44,Dammam,70,7088.3
C00216,2025-05-31 23:14:55,92,Khobar,95,10906.05
C00217,2025-08-20 23:14:55,89,Jeddah,39,1875.59
C00218,2024-08-27 23:14:55,66,Medina,25,1732.51
C00219,2025-05-28 23:14:55,30,Mecca,82,3970.6
C00220,2025-06-06 23:14:55,24,Jeddah,75,8875.2
C00221,2024-10-21 23:14:55,71,Dammam,54,3664.39
C00222,2025-08-01 23:14:55,78,Khobar,87,1699.74
C00223,2024-08-20 23:14:55,56,Dammam,100,6728.68
C00224,2025-02-06 23:14:55,96,Dammam,67,14626.73
C00225,2025-03-06 23:14:55,17,Mecca,38,1496.58
C00226,2025-02-20 23:14:55,43,Riyadh,63,9142.27
C00227,2025-07-04 23:14:55,21,Jeddah,93,4577.53
C00228,2025-03-11 23:14:55,20,Khobar,80,6152.69
C00229,2025-05-11 23:14:55,75,Medina,72,1371.36
C00230,2024-10-14 23:14:55,88,Medina,23,8252.44
C00231,2025-04-12 23:14:55,11,Riyadh,100,11943.07
C00232,2025-08-13 23:14:55,34,Riyadh,38,14653.35
C00233,2025-05-23 23:14:55,57,Riyadh,61,4983.61
C00234,2024-11-08 23:14:55,56,Khobar,45,8982.13
C00235,2025-06-13 23:14:55,11,Khobar,61,12251.2
C00236,2025-09-05 23:14:55,10,Khobar,73,10643.35
C00237,2025-04-16 23:14:55,27,Dammam,20,9113.62
C00238,2025-07-03 23:14:55,56,Mecca,92,7402.56
C00239,2025-05-10 23:14:55,89,Dammam,73,6984.02
C00240,2025-08-20 23:14:55,67,Riyadh,31,688.32
C00241,2024-09-17 23:14:55,12,Jeddah,32,11160.62
C00242,2025-08-01 23:14:55,100,Medina,49,9485.15
C00243,2025-09-11 23:14:55,38,Riyadh,37,2475.11
C00244,2024-10-07 23:14:55,30,Jeddah,51,5354.41
C00245,2025-04-10 23:14:55,38,Dammam,45,10335.83
C00246,2024-09-09 23:14:55,43,Khobar,60,3156.05
C00247,2025-02-05 23:14:55,99,Riyadh,62,6016.71
C00248,2025-07-05 23:14:55,59,Riyadh,80,10586.49
C00249,2025-07-24 23:14:55,32,Mecca,30,12737.05
C00250,2025-05-24 23:14:55,75,Khobar,41,3800.94
C00251,2024-11-19 23:14:55,58,Mecca,43,2556.91
C00252,2025-05-20 23:14:55,89,Riyadh,82,2189.48
C00253,2024-09-25 23:14:55,78,Khobar,53,3305.78
C00254,2025-02-07 23:14:55,99,Medina,26,8979.41
C00255,2024-11-16 23:14:55,58,Medina,26,11941.96
C00256,2024-11-19 23:14:55,34,Dammam,94,12999.89
C00257,2025-09-11 23:14:55,54,Dammam,32,5330.3
C00258,2025-08-29 23:14:55,68,Riyadh,28,9432.95
C00259,2025-08-14 23:14:55,77,Riyadh,29,6212.99
C00260,2025-03-08 23:14:55,35,Jeddah,63,8646.48
C00261,2024-10-10 23:14:55,78,Dammam,66,10978.28
C00262,2025-08-12 23:14:55,56,Medina,45,9399.29
C00263,2025-06-26 23:14:55,17,Jeddah,98,2601.2
C00264,2025-05-20 23:14:55,93,Jeddah,67,3602.05
C00265,2025-06-28 23:14:55,93,Medina,55,9609.92
C00266,2025-03-28 23:14:55,11,Riyadh,30,4822.64
C00267,2025-06-18 23:14:55,97,Jeddah,88,14423.67
C00268,2025-08-17 23:14:55,63,Riyadh,53,12556.8
C00269,2025-02-16 23:14:55,25,Dammam,100,4739.98
C00270,2024-10-12 23:14:55,68,Dammam,95,8749.73
C00271,2024-10-02 23:14:55,33,Dammam,54,6072.93
C00272,2024-10-30 23:14:55,93,Riyadh,71,10336.5
C00273,2024-11-08 23:14:55,31,Mecca,86,13799.38
C00274,2025-02-04 23:14:55,35,Khobar,87,9287.92
C00275,2024-11-29 23:14:55,83,Medina,72,7658.78
C00276,2025-07-23 23:14:55,33,Jeddah,73,5688.98
C00277,2024-09-09 23:14:55,88,Medina,44,12483.76
C00278,2025-08-27 23:14:55,50,Jeddah,59,6718.71
C00279,2025-04-23 23:14:55,31,Mecca,56,9290.68
C00280,2025-04-09 23:14:55,28,Medina,91,2715.88
C00281,2024-12-11 23:14:55,21,Medina,85,13373.25
C00282,2025-06-26 23:14:55,53,Khobar,66,1281.49
C00283,2025-06-24 23:14:55,58,Khobar,70,11874.94
C00284,2024-09-04 23:14:55,86,Riyadh,28,7291.09
C00285,2024-12-13 23:14:55,33,Medina,76,2400.46
C00286,2025-01-22 23:14:55,33,Mecca,34,3625.16
C00287,2024-11-02 23:14:55,98,Mecca,22,8375.5
C00288,2025-02-06 23:14:55,12,Dammam,41,14809.45
C00289,2024-11-17 23:14:55,61,Mecca,49,1157.85
C00290,2025-03-15 23:14:55,16,Dammam,34,10693.07
C00291,2025-04-26 23:14:55,17,Medina,57,14694.1
C00292,2025-09-08 23:14:55,96,Mecca,46,4715.89
C00293,2025-07-26 23:14:55,71,Khobar,73,110.37
C00294,2024-10-04 23:14:55,88,Jeddah,82,1756.75
C00295,2025-01-01 23:14:55,71,Dammam,81,12649.98
C00296,2025-05-26 23:14:55,76,Dammam,68,4500.06
C00297,2025-05-02 23:14:55,69,Khobar,23,4112.15
C00298,2025-06-28 23:14:55,15,Dammam,89,14180.07
C00299,2025-02-09 23:14:55,61,Mecca,58,7429.57
C00300,2024-12-16 23:14:55,63,Mecca,44,5488.87
C00301,2024-11-14 23:14:55,97,Dammam,54,3776.5
C00302,2024-09-19 23:14:55,99,Khobar,29,11944.67
C00303,2025-07-09 23:14:55,59,Medina,97,4548.82
C00304,2025-03-31 23:14:55,41,Dammam,61,3808.5
C00305,2025-06-04 23:14:55,25,Mecca,84,7092.48
C00306,2025-09-07 23:14:55,92,Dammam,64,11299.96
C00307,2024-10-31 23:14:55,80,Mecca,40,13583.86
C00308,2025-08-11 23:14:55,62,Riyadh,37,10864.18
C00309,2024-10-31 23:14:55,38,Dammam,42,12943.55
C00310,2025-04-26 23:14:55,11,Jeddah,86,12598.44
C00311,2025-04-16 23:14:55,91,Mecca,22,13347.68
C00312,2025-01-02 23:14:55,47,Medina,93,3025.33
C00313,2025-05-12 23:14:55,43,Dammam,30,6135.88
C00314,2025-05-12 23:14:55,28,Mecca,61,9715.72
C00315,2025-07-07 23:14:55,75,Khobar,83,4180.59
C00316,2025-08-31 23:14:55,27,Mecca,92,1729.23
C00317,2025-06-05 23:14:55,36,Dammam,37,2320.13
C00318,2025-02-09 23:14:55,12,Khobar,46,8814.86
C00319,2025-06-13 23:14:55,25,Jeddah,92,1596.54
C00320,2025-02-15 23:14:55,51,Dammam,84,11316.22
C00321,2025-02-27 23:14:55,43,Mecca,47,13594.32
C00322,2024-12-25 23:14:55,57,Medina,62,11117.37
C00323,2025-07-04 23:14:55,88,Jeddah,94,7630.19
C00324,2025-02-19 23:14:55,99,Medina,50,12829.19
C00325,2024-12-23 23:14:55,97,Riyadh,23,4878.21
C00326,2025-05-11 23:14:55,11,Khobar,98,6799.52
C00327,2024-11-18 23:14:55,13,Khobar,57,14079.25
C00328,2025-06-03 23:14:55,50,Dammam,22,7494.23
C00329,2025-05-17 23:14:55,23,Mecca,90,12352.21
C00330,2025-03-25 23:14:55,89,Jeddah,50,12914.46
C00331,2025-01-21 23:14:55,56,Medina,50,3310.04
C00332,2024-11-13 23:14:55,95,Riyadh,52,9575.5
C00333,2024-11-26 23:14:55,50,Dammam,51,14960.2
C00334,2025-06-07 23:14:55,31,Dammam,54,10206.57
C00335,2024-08-31 23:14:55,41,Khobar,45,12777.97
C00336,2025-03-30 23:14:55,12,Medina,70,8659.19
C00337,2024-12-18 23:14:55,47,Jeddah,58,3686.42
C00338,2024-09-04 23:14:55,76,Dammam,99,349.8
C00339,2025-04-01 23:14:55,44,Mecca,83,11229.71
C00340,2024-10-09 23:14:55,32,Jeddah,80,14626.92
C00341,2025-09-11 23:14:55,60,Medina,68,3804.23
C00342,2025-04-08 23:14:55,80,Riyadh,66,14849.28
C00343,2025-02-17 23:14:55,71,Khobar,90,10360.6
C00344,2025-03-05 23:14:55,75,Mecca,96,2601.3
C00345,2024-08-26 23:14:55,74,Jeddah,65,10743.4
C00346,2025-07-19 23:14:55,28,Jeddah,81,11511.07
C00347,2025-08-17 23:14:55,22,Dammam,33,7935.39
C00348,2025-06-01 23:14:55,63,Riyadh,27,5961.5
C00349,2025-05-21 23:14:55,73,Riyadh,21,11806.06
C00350,2024-10-13 23:14:55,51,Khobar,63,4651.8
C00351,2025-02-16 23:14:55,100,Mecca,63,1603.68
C00352,2025-04-27 23:14:55,90,Dammam,31,12562.18
C00353,2025-06-15 23:14:55,38,Khobar,88,6300.03
C00354,2025-04-10 23:14:55,50,Khobar,22,9137.27
C00355,2025-07-12 23:14:55,38,Dammam,91,2593.44
C00356,2025-03-16 23:14:55,75,Medina,28,4045.63
C00357,2025-08-27 23:14:55,20,Jeddah,21,14623.16
C00358,2024-10-05 23:14:55,25,Jeddah,93,421.65
C00359,2025-08-27 23:14:55,94,Riyadh,58,10922.09
C00360,2024-09-03 23:14:55,31,Riyadh,89,1571.28
C00361,2025-04-10 23:14:55,50,Dammam,84,10335.53
C00362,2025-08-27 23:14:55,93,Dammam,87,1679.69
C00363,2024-10-24 23:14:55,60,Dammam,48,13641.82
C00364,2025-03-15 23:14:55,22,Jeddah,94,7387.21
C00365,2025-07-02 23:14:55,61,Khobar,44,4410.81
C00366,2025-04-27 23:14:55,55,Jeddah,60,6273.21
C00367,2024-12-05 23:14:55,30,Medina,57,7436.71
C00368,2024-12-02 23:14:55,27,Medina,60,14028.04
C00369,2025-05-07 23:14:55,55,Khobar,95,7507.51
C00370,2025-06-29 23:14:55,16,Khobar,67,699.49
C00371,2024-09-27 23:14:55,20,Dammam,69,373.99
C00372,2025-07-04 23:14:55,64,Riyadh,86,4561.22
C00373,2024-11-18 23:14:55,65,Medina,80,6901.5
C00374,2025-01-03 23:14:55,65,Khobar,35,8782.17
C00375,2025-08-20 23:14:55,26,Jeddah,94,12257.18
C00376,2025-02-20 23:14:55,41,Riyadh,76,6723.77
C00377,2025-03-20 23:14:55,56,Dammam,76,9361.15
C00378,2025-04-14 23:14:55,39,Dammam,33,10216.49
C00379,2024-11-12 23:14:55,34,Mecca,69,14699.4
C00380,2025-01-29 23:14:55,21,Khobar,31,6034.07
C00381,2025-03-14 23:14:55,35,Medina,62,2725.2
C00382,2024-11-07 23:14:55,39,Jeddah,91,5997.01
C00383,2024-11-23 23:14:55,93,Jeddah,30,8068.77
C00384,2024-10-22 23:14:55,84,Dammam,45,13255.74
C00385,2024-08-30 23:14:55,92,Khobar,79,5132.59
C00386,2024-08-14 23:14:55,41,Riyadh,100,6838.05
C00387,2025-07-08 23:14:55,71,Riyadh,65,14475.82
C00388,2025-05-26 23:14:55,19,Riyadh,61,7826.08
C00389,2025-03-03 23:14:55,28,Riyadh,22,7103.25
C00390,2025-05-31 23:14:55,77,Khobar,93,13686.43
C00391,2025-01-13 23:14:55,95,Jeddah,79,14617.11
C00392,2024-12-04 23:14:55,53,Medina,58,9566.0
C00393,2025-08-18 23:14:55,66,Jeddah,94,3939.14
C00394,2025-03-21 23:14:55,41,Dammam,98,3221.88
C00395,2025-08-01 23:14:55,23,Riyadh,43,14248.92
C00396,2025-02-17 23:14:55,48,Jeddah,72,10411.95
C00397,2024-10-17 23:14:55,79,Khobar,61,782.58
C00398,2024-11-24 23:14:55,61,Medina,78,10352.21
C00399,2024-09-10 23:14:55,10,Riyadh,70,14336.1
C00400,2025-04-30 23:14:55,68,Mecca,59,130.57
C00401,2025-03-23 23:14:55,57,Dammam,22,3394.18
C00402,2025-04-05 23:14:55,11,Dammam,35,13478.62
C00403,2024-09-02 23:14:55,62,Mecca,20,4877.47
C00404,2025-01-06 23:14:55,15,Dammam,55,12776.96
C00405,2024-12-27 23:14:55,67,Khobar,28,13731.48
C00406,2025-07-08 23:14:55,39,Khobar,81,10959.61
C00407,2025-06-15 23:14:55,81,Riyadh,80,10628.76
C00408,2025-03-12 23:14:55,72,Dammam,71,12495.99
C00409,2024-12-22 23:14:55,55,Riyadh,75,3835.66
C00410,2024-10-29 23:14:55,62,Jeddah,64,3219.7
C00411,2024-11-01 23:14:55,84,Khobar,95,968.43
C00412,2025-04-06 23:14:55,46,Medina,80,1270.24
C00413,2024-09-25 23:14:55,66,Mecca,52,13190.94
C00414,2025-07-26 23:14:55,64,Medina,87,6365.89
C00415,2025-04-22 23:14:55,98,Riyadh,55,7905.97
C00416,2024-10-31 23:14:55,60,Mecca,35,10358.55
C00417,2025-03-25 23:14:55,23,Dammam,75,262.28
C00418,2024-12-03 23:14:55,11,Dammam,52,4298.42
C00419,2025-06-01 23:14:55,56,Dammam,88,3459.47
C00420,2025-03-22 23:14:55,23,Jeddah,20,756.23
C00421,2024-10-06 23:14:55,70,Riyadh,24,11865.17
C00422,2024-09-09 23:14:55,67,Khobar,100,6503.26
C00423,2025-05-10 23:14:55,97,Riyadh,53,11392.36
C00424,2025-03-10 23:14:55,38,Jeddah,22,521.14
C00425,2024-09-21 23:14:55,68,Riyadh,44,4247.75
C00426,2025-03-13 23:14:55,29,Jeddah,81,4179.94
C00427,2024-10-09 23:14:55,29,Dammam,30,14834.35
C00428,2024-12-12 23:14:55,25,Riyadh,51,3052.14
C00429,2025-08-14 23:14:55,87,Jeddah,57,3653.19
C00430,2024-12-18 23:14:55,17,Riyadh,35,11332.71
C00431,2025-08-16 23:14:55,79,Jeddah,82,13121.07
C00432,2025-03-17 23:14:55,34,Medina,78,14595.42
C00433,2025-07-21 23:14:55,32,Dammam,73,316.32
C00434,2025-06-23 23:14:55,64,Medina,100,13112.25
C00435,2025-02-01 23:14:55,44,Mecca,63,10270.54
C00436,2024-12-25 23:14:55,59,Medina,29,12359.22
C00437,2024-11-26 23:14:55,91,Medina,52,2004.17
C00438,2025-08-29 23:14:55,59,Riyadh,39,12964.13
C00439,2025-04-16 23:14:55,78,Medina,88,6881.6
C00440,2025-07-09 23:14:55,95,Riyadh,23,12598.02
C00441,2024-08-25 23:14:55,81,Mecca,38,5263.01
C00442,2025-06-06 23:14:55,64,Mecca,64,11938.31
C00443,2025-06-29 23:14:55,29,Riyadh,22,4738.76
C00444,2024-12-12 23:14:55,46,Medina,87,979.13
C00445,2025-09-09 23:14:55,32,Dammam,65,1580.92
C00446,2025-01-18 23:14:55,24,Medina,70,12432.2
C00447,2025-08-12 23:14:55,87,Medina,63,10736.17
C00448,2025-02-16 23:14:55,68,Medina,39,2884.75
