orderid,customerid,date,timestamp,netsale,category,city,segment
ORD_0000028,CUST_01607,2022-04-14,2022-04-14 00:00:00.000000,773.99,Personal Care,Mecca,Retail
ORD_0000029,CUST_00547,2021-10-17,2021-10-17 00:00:00.000000,856.34,Personal Care,Dammam,Retail
ORD_0000030,CUST_01371,2022-09-30,2022-09-30 00:00:00.000000,712.28,Wellness,Dammam,Retail
ORD_0000031,CUST_01636,2023-10-17,2023-10-17 00:00:00.000000,963.39,Medication,Jeddah,Retail
ORD_0000032,CUST_01600,2022-12-09,2022-12-09 00:00:00.000000,827.14,Medication,Mecca,Retail
ORD_0000033,CUST_00342,2023-10-09,2023-10-09 00:00:00.000000,135.7,Wellness,Riyadh,Retail
ORD_0000034,CUST_00321,2023-10-18,2023-10-18 00:00:00.000000,714.0,Wellness,Medina,Retail
ORD_0000035,CUST_01500,2022-03-24,2022-03-24 00:00:00.000000,171.21,Medication,Riyadh,VIP
ORD_0000036,CUST_00251,2022-01-30,2022-01-30 00:00:00.000000,450.33,Medication,Medina,Retail
ORD_0000037,CUST_00502,2025-01-24,2025-01-24 00:00:00.000000,812.96,Personal Care,Dammam,VIP
ORD_0000038,CUST_00350,2021-11-15,2021-11-15 00:00:00.000000,280.7,Wellness,Mecca,Retail
ORD_0000039,CUST_00738,2023-10-21,2023-10-21 00:00:00.000000,168.58,Wellness,Jeddah,Retail
ORD_0000040,CUST_01612,2023-02-05,2023-02-05 00:00:00.000000,155.23,Wellness,Medina,VIP
ORD_0000041,CUST_01839,2023-10-13,2023-10-13 00:00:00.000000,952.8,Personal Care,Jeddah,Retail
ORD_0000042,CUST_00740,2021-07-16,2021-07-16 00:00:00.000000,453.73,Personal Care,Jeddah,Retail
ORD_0000043,CUST_01651,2024-12-20,2024-12-20 00:00:00.000000,944.77,Wellness,Mecca,Retail
ORD_0000044,CUST_00822,2025-03-19,2025-03-19 00:00:00.000000,181.04,Medication,Mecca,Retail
ORD_0000045,CUST_01352,2025-01-04,2025-01-04 00:00:00.000000,167.93,Personal Care,Dammam,Retail
ORD_0000046,CUST_01460,2025-02-02,2025-02-02 00:00:00.000000,667.15,Wellness,Medina,Retail
ORD_0000047,CUST_00858,2024-08-16,2024-08-16 00:00:00.000000,888.07,Wellness,Jeddah,Retail
ORD_0000048,CUST_01477,2024-12-21,2024-12-21 00:00:00.000000,327.42,Wellness,Mecca,Retail
ORD_0000049,CUST_01843,2024-05-06,2024-05-06 00:00:00.000000,618.19,Wellness,Medina,Corporate
ORD_0000050,CUST_00913,2024-03-15,2024-03-15 00:00:00.000000,221.03,Personal Care,Jeddah,Retail
ORD_0000051,CUST_01335,2022-10-01,2022-10-01 00:00:00.000000,703.52,Personal Care,Medina,Retail
ORD_0000052,CUST_00828,2024-09-07,2024-09-07 00:00:00.000000,213.35,Medication,Riyadh,Retail
ORD_0000053,CUST_01100,2024-02-17,2024-02-17 00:00:00.000000,402.19,Medication,Medina,Retail
ORD_0000054,CUST_01065,2023-12-09,2023-12-09 00:00:00.000000,298.25,Personal Care,Riyadh,Retail
ORD_0000055,CUST_00639,2025-05-10,2025-05-10 00:00:00.000000,353.89,Medication,Medina,Retail
ORD_0000056,CUST_00057,2024-04-14,2024-04-14 00:00:00.000000,600.65,Wellness,Jeddah,Retail
ORD_0000057,CUST_01487,2023-10-16,2023-10-16 00:00:00.000000,987.22,Medication,Medina,Retail
ORD_0000058,CUST_01723,2023-08-11,2023-08-11 00:00:00.000000,274.56,Medication,Jeddah,Retail
ORD_0000059,CUST_00097,2024-11-27,2024-11-27 00:00:00.000000,657.94,Wellness,Jeddah,Corporate
ORD_0000060,CUST_01172,2022-05-02,2022-05-02 00:00:00.000000,464.08,Personal Care,Dammam,Corporate
ORD_0000061,CUST_01191,2024-01-22,2024-01-22 00:00:00.000000,720.35,Personal Care,Mecca,Retail
ORD_0000062,CUST_01092,2024-04-26,2024-04-26 00:00:00.000000,249.16,Personal Care,Jeddah,VIP
ORD_0000063,CUST_01607,2024-11-11,2024-11-11 00:00:00.000000,720.56,Personal Care,Mecca,Retail
ORD_0000064,CUST_00773,2022-11-08,2022-11-08 00:00:00.000000,123.12,Medication,Dammam,Retail
ORD_0000065,CUST_01685,2025-09-02,2025-09-02 00:00:00.000000,374.04,Personal Care,Mecca,Retail
ORD_0000066,CUST_00871,2023-07-15,2023-07-15 00:00:00.000000,100.31,Medication,Mecca,Retail
ORD_0000067,CUST_00975,2021-09-13,2021-09-13 00:00:00.000000,457.24,Personal Care,Dammam,Retail
ORD_0000068,CUST_00824,2023-11-13,2023-11-13 00:00:00.000000,567.79,Wellness,Jeddah,Retail
ORD_0000069,CUST_01196,2024-05-09,2024-05-09 00:00:00.000000,643.73,Personal Care,Mecca,Retail
ORD_0000070,CUST_01906,2025-07-17,2025-07-17 00:00:00.000000,499.75,Medication,Mecca,Retail
ORD_0000071,CUST_00295,2023-12-31,2023-12-31 00:00:00.000000,144.58,Medication,Riyadh,VIP
ORD_0000072,CUST_01982,2024-10-06,2024-10-06 00:00:00.000000,522.92,Personal Care,Mecca,Retail
ORD_0000073,CUST_00435,2023-08-21,2023-08-21 00:00:00.000000,483.89,Personal Care,Dammam,Corporate
ORD_0000074,CUST_00756,2021-09-16,2021-09-16 00:00:00.000000,609.57,Medication,Jeddah,Retail
ORD_0000075,CUST_00756,2024-03-31,2024-03-31 00:00:00.000000,303.8,Medication,Jeddah,Retail
ORD_0000076,CUST_00760,2023-06-11,2023-06-11 00:00:00.000000,991.2,Wellness,Dammam,VIP
ORD_0000077,CUST_00057,2025-09-11,2025-09-11 00:00:00.000000,160.01,Wellness,Jeddah,Retail
ORD_0000078,CUST_00099,2023-11-27,2023-11-27 00:00:00.000000,891.28,Personal Care,Mecca,VIP
ORD_0000079,CUST_01001,2020-04-23,2020-04-23 00:00:00.000000,139.88,Medication,Mecca,Retail
ORD_0000080,CUST_00855,2023-02-23,2023-02-23 00:00:00.000000,581.6,Wellness,Riyadh,Retail
ORD_0000081,CUST_01600,2024-06-25,2024-06-25 00:00:00.000000,485.72,Personal Care,Mecca,Retail
ORD_0000082,CUST_00271,2022-09-13,2022-09-13 00:00:00.000000,514.67,Wellness,Riyadh,Corporate
ORD_0000083,CUST_01366,2022-10-11,2022-10-11 00:00:00.000000,166.0,Medication,Medina,Retail
ORD_0000084,CUST_01638,2024-07-08,2024-07-08 00:00:00.000000,399.49,Wellness,Medina,Retail
ORD_0000085,CUST_01107,2022-05-08,2022-05-08 00:00:00.000000,958.92,Personal Care,Jeddah,Retail
ORD_0000086,CUST_00568,2023-10-11,2023-10-11 00:00:00.000000,106.76,Medication,Mecca,Retail
ORD_0000087,CUST_01171,2025-02-11,2025-02-11 00:00:00.000000,800.24,Personal Care,Riyadh,VIP
ORD_0000088,CUST_01321,2022-10-25,2022-10-25 00:00:00.000000,651.04,Personal Care,Dammam,VIP
ORD_0000089,CUST_01109,2023-12-10,2023-12-10 00:00:00.000000,762.46,Personal Care,Medina,Retail
ORD_0000090,CUST_00387,2023-11-19,2023-11-19 21:27:26.725329,512.59,Medication,Medina,Retail
ORD_0000091,CUST_01970,2021-03-23,2021-03-23 00:00:00.000000,289.46,Personal Care,Dammam,Retail
ORD_0000092,CUST_01718,2025-02-19,2025-02-19 00:00:00.000000,455.34,Personal Care,Riyadh,Retail
ORD_0000093,CUST_00656,2023-04-06,2023-04-06 00:00:00.000000,597.12,Medication,Dammam,Retail
ORD_0000094,CUST_00696,2024-06-23,2024-06-23 00:00:00.000000,196.9,Personal Care,Mecca,Retail
ORD_0000095,CUST_00649,2023-04-04,2023-04-04 00:00:00.000000,272.03,Medication,Dammam,Retail
ORD_0000096,CUST_01109,2021-08-25,2021-08-25 00:00:00.000000,299.64,Medication,Medina,Retail
ORD_0000097,CUST_00315,2022-12-01,2022-12-01 00:00:00.000000,953.12,Medication,Riyadh,Retail
ORD_0000098,CUST_01258,2022-10-23,2022-10-23 00:00:00.000000,197.83,Wellness,Medina,Retail
ORD_0000099,CUST_00798,2022-03-01,2022-03-01 00:00:00.000000,333.64,Wellness,Riyadh,Retail
ORD_0000100,CUST_00528,2022-10-29,2022-10-29 00:00:00.000000,942.75,Medication,Mecca,Retail
ORD_0000101,CUST_00414,2022-02-25,2022-02-25 00:00:00.000000,757.09,Wellness,Jeddah,Retail
ORD_0000102,CUST_01041,2024-05-15,2024-05-15 00:00:00.000000,514.33,Wellness,Jeddah,VIP
ORD_0000103,CUST_00124,2022-05-05,2022-05-05 00:00:00.000000,475.53,Wellness,Jeddah,Retail
ORD_0000104,CUST_00059,2023-10-30,2023-10-30 00:00:00.000000,640.87,Medication,Riyadh,Retail
ORD_0000105,CUST_00551,2024-01-06,2024-01-06 00:00:00.000000,964.21,Medication,Jeddah,Retail
ORD_0000106,CUST_01562,2021-06-15,2021-06-15 00:00:00.000000,318.52,Medication,Jeddah,Retail
ORD_0000107,CUST_01733,2024-05-14,2024-05-14 00:00:00.000000,510.42,Medication,Jeddah,Corporate
ORD_0000108,CUST_00764,2025-06-25,2025-06-25 00:00:00.000000,985.6,Personal Care,Jeddah,Retail
ORD_0000109,CUST_01950,2024-10-07,2024-10-07 00:00:00.000000,962.13,Medication,Mecca,Retail
ORD_0000110,CUST_00002,2024-02-19,2024-02-19 00:00:00.000000,961.89,Personal Care,Riyadh,Retail
ORD_0000111,CUST_01990,2022-01-15,2022-01-15 00:00:00.000000,20.53,Wellness,Riyadh,Retail
ORD_0000112,CUST_00559,2025-01-19,2025-01-19 00:00:00.000000,265.87,Wellness,Dammam,Retail
ORD_0000113,CUST_01725,2023-08-21,2023-08-21 00:00:00.000000,593.46,Medication,Jeddah,VIP
ORD_0000114,CUST_00330,2024-12-13,2024-12-13 00:00:00.000000,543.41,Medication,Medina,Retail
ORD_0000115,CUST_00809,2024-10-08,2024-10-08 00:00:00.000000,140.52,Personal Care,Medina,Retail
ORD_0000116,CUST_00572,2023-05-22,2023-05-22 00:00:00.000000,226.63,Wellness,Riyadh,Retail
ORD_0000117,CUST_01810,2025-01-05,2025-01-05 00:00:00.000000,946.5,Personal Care,Jeddah,Retail
ORD_0000118,CUST_00927,2022-11-12,2022-11-12 00:00:00.000000,261.01,Wellness,Dammam,VIP
ORD_0000119,CUST_00431,2023-11-27,2023-11-27 00:00:00.000000,959.81,Personal Care,Dammam,Retail
ORD_0000120,CUST_00273,2025-05-07,2025-05-07 21:27:26.725416,616.61,Personal Care,Dammam,Retail
ORD_0000121,CUST_00355,2024-04-22,2024-04-22 00:00:00.000000,564.67,Wellness,Mecca,Retail
ORD_0000122,CUST_01561,2024-08-25,2024-08-25 00:00:00.000000,547.37,Personal Care,Jeddah,Retail
ORD_0000123,CUST_01333,2022-05-08,2022-05-08 00:00:00.000000,547.88,Personal Care,Mecca,Retail
ORD_0000124,CUST_00911,2022-12-08,2022-12-08 00:00:00.000000,365.93,Personal Care,Medina,Retail
ORD_0000125,CUST_00733,2023-08-31,2023-08-31 00:00:00.000000,193.64,Personal Care,Dammam,Retail
ORD_0000126,CUST_00017,2020-11-25,2020-11-25 00:00:00.000000,473.44,Wellness,Medina,Retail
ORD_0000127,CUST_00019,2023-01-14,2023-01-14 00:00:00.000000,748.28,Personal Care,Medina,Retail
ORD_0000128,CUST_01887,2025-05-19,2025-05-19 00:00:00.000000,370.66,Personal Care,Riyadh,Retail
ORD_0000129,CUST_01280,2023-06-21,2023-06-21 00:00:00.000000,812.25,Wellness,Medina,Retail
ORD_0000130,CUST_01981,2023-06-05,2023-06-05 00:00:00.000000,56.06,Personal Care,Medina,Retail
ORD_0000131,CUST_01447,2023-11-26,2023-11-26 00:00:00.000000,224.9,Personal Care,Mecca,Retail
ORD_0000132,CUST_00811,2022-11-09,2022-11-09 00:00:00.000000,872.52,Wellness,Jeddah,Retail
ORD_0000133,CUST_00349,2023-06-25,2023-06-25 00:00:00.000000,209.89,Personal Care,Dammam,Retail
ORD_0000134,CUST_01397,2023-10-11,2023-10-11 00:00:00.000000,573.84,Medication,Riyadh,Retail
ORD_0000135,CUST_01527,2021-09-02,2021-09-02 00:00:00.000000,144.88,Medication,Medina,Retail
ORD_0000136,CUST_01804,2023-03-19,2023-03-19 00:00:00.000000,734.32,Personal Care,Medina,Retail
ORD_0000137,CUST_00047,2025-07-15,2025-07-15 00:00:00.000000,684.18,Personal Care,Medina,Retail
ORD_0000138,CUST_01147,2025-03-16,2025-03-16 00:00:00.000000,464.85,Personal Care,Mecca,Retail
ORD_0000139,CUST_01378,2025-07-17,2025-07-17 00:00:00.000000,657.03,Wellness,Jeddah,Retail
ORD_0000140,CUST_00885,2023-08-17,2023-08-17 00:00:00.000000,288.55,Wellness,Medina,Retail
ORD_0000141,CUST_01014,2023-10-09,2023-10-09 00:00:00.000000,526.91,Personal Care,Dammam,VIP
ORD_0000142,CUST_00459,2020-08-09,2020-08-09 00:00:00.000000,292.37,Wellness,Jeddah,Retail
ORD_0000143,CUST_00647,2020-03-06,2020-03-06 00:00:00.000000,404.02,Personal Care,Riyadh,Retail
ORD_0000144,CUST_01654,2021-01-30,2021-01-30 00:00:00.000000,990.46,Personal Care,Riyadh,Retail
ORD_0000145,CUST_00867,2022-05-24,2022-05-24 00:00:00.000000,918.66,Wellness,Jeddah,Retail
ORD_0000146,CUST_00636,2020-10-31,2020-10-31 00:00:00.000000,633.47,Wellness,Riyadh,Retail
ORD_0000147,CUST_00884,2025-08-04,2025-08-04 00:00:00.000000,43.54,Wellness,Dammam,Retail
ORD_0000148,CUST_01721,2021-10-26,2021-10-26 00:00:00.000000,262.21,Wellness,Mecca,Retail
ORD_0000149,CUST_01704,2021-10-17,2021-10-17 00:00:00.000000,825.2,Medication,Riyadh,Retail
ORD_0000150,CUST_01932,2021-02-22,2021-02-22 00:00:00.000000,780.23,Medication,Jeddah,Retail
ORD_0000151,CUST_01280,2024-04-10,2024-04-10 00:00:00.000000,587.36,Medication,Medina,Retail
ORD_0000152,CUST_01877,2021-04-29,2021-04-29 00:00:00.000000,389.85,Personal Care,Jeddah,Retail
ORD_0000153,CUST_00133,2022-02-17,2022-02-17 00:00:00.000000,80.76,Medication,Mecca,VIP
ORD_0000154,CUST_00617,2025-05-06,2025-05-06 00:00:00.000000,633.66,Personal Care,Dammam,Retail
ORD_0000155,CUST_00114,2023-06-27,2023-06-27 00:00:00.000000,71.16,Wellness,Dammam,Retail
ORD_0000156,CUST_00196,2024-11-03,2024-11-03 00:00:00.000000,756.92,Personal Care,Riyadh,Retail
ORD_0000157,CUST_01612,2025-07-08,2025-07-08 00:00:00.000000,631.53,Wellness,Medina,VIP
ORD_0000158,CUST_01628,2024-08-03,2024-08-03 00:00:00.000000,882.34,Wellness,Riyadh,Retail
ORD_0000159,CUST_01333,2022-01-23,2022-01-23 00:00:00.000000,465.0,Medication,Mecca,Retail
ORD_0000160,CUST_00221,2021-09-21,2021-09-21 00:00:00.000000,32.04,Personal Care,Dammam,Retail
ORD_0000161,CUST_01616,2025-06-28,2025-06-28 00:00:00.000000,209.74,Personal Care,Riyadh,Retail
ORD_0000162,CUST_01042,2023-08-03,2023-08-03 00:00:00.000000,368.28,Personal Care,Medina,Retail
ORD_0000163,CUST_00910,2023-06-09,2023-06-09 00:00:00.000000,258.29,Medication,Riyadh,Retail
ORD_0000164,CUST_00261,2022-03-29,2022-03-29 00:00:00.000000,592.83,Personal Care,Riyadh,Retail
ORD_0000165,CUST_01544,2022-12-02,2022-12-02 00:00:00.000000,324.96,Medication,Medina,Retail
ORD_0000166,CUST_00301,2024-06-04,2024-06-04 00:00:00.000000,322.5,Wellness,Medina,Corporate
ORD_0000167,CUST_01987,2021-11-24,2021-11-24 00:00:00.000000,527.33,Medication,Medina,VIP
ORD_0000168,CUST_00117,2023-06-07,2023-06-07 00:00:00.000000,516.97,Medication,Jeddah,Retail
ORD_0000169,CUST_00864,2023-05-29,2023-05-29 00:00:00.000000,211.5,Medication,Mecca,Retail
ORD_0000170,CUST_01608,2021-02-02,2021-02-02 00:00:00.000000,354.72,Personal Care,Jeddah,Retail
ORD_0000171,CUST_01416,2024-02-22,2024-02-22 00:00:00.000000,607.77,Personal Care,Jeddah,Retail
ORD_0000172,CUST_01159,2023-05-02,2023-05-02 00:00:00.000000,623.78,Medication,Dammam,Retail
ORD_0000173,CUST_00214,2023-12-07,2023-12-07 00:00:00.000000,878.58,Wellness,Mecca,Retail
ORD_0000174,CUST_00449,2025-07-18,2025-07-18 00:00:00.000000,23.62,Medication,Medina,Retail
ORD_0000175,CUST_00955,2024-03-25,2024-03-25 00:00:00.000000,228.88,Wellness,Dammam,Retail
ORD_0000176,CUST_01653,2024-05-01,2024-05-01 00:00:00.000000,221.21,Medication,Jeddah,Retail
ORD_0000177,CUST_00743,2022-01-02,2022-01-02 00:00:00.000000,92.26,Medication,Dammam,Retail
ORD_0000178,CUST_00291,2021-10-04,2021-10-04 00:00:00.000000,451.6,Wellness,Riyadh,Retail
ORD_0000179,CUST_00089,2021-12-14,2021-12-14 00:00:00.000000,215.14,Medication,Dammam,Retail
ORD_0000180,CUST_01813,2023-01-12,2023-01-12 00:00:00.000000,724.46,Personal Care,Riyadh,Retail
ORD_0000181,CUST_00503,2021-06-02,2021-06-02 00:00:00.000000,212.07,Wellness,Medina,VIP
ORD_0000182,CUST_01865,2021-06-01,2021-06-01 00:00:00.000000,40.57,Wellness,Medina,VIP
ORD_0000183,CUST_01341,2022-06-18,2022-06-18 00:00:00.000000,351.62,Wellness,Mecca,Corporate
ORD_0000184,CUST_00491,2023-03-06,2023-03-06 00:00:00.000000,813.3,Personal Care,Medina,Retail
ORD_0000185,CUST_01636,2024-09-21,2024-09-21 00:00:00.000000,884.03,Medication,Jeddah,Retail
ORD_0000186,CUST_00242,2022-05-11,2022-05-11 00:00:00.000000,885.07,Medication,Medina,Retail
ORD_0000187,CUST_00392,2025-01-21,2025-01-21 00:00:00.000000,390.63,Personal Care,Medina,Retail
ORD_0000188,CUST_00879,2024-07-16,2024-07-16 00:00:00.000000,259.66,Personal Care,Dammam,Retail
ORD_0000189,CUST_01202,2022-02-19,2022-02-19 00:00:00.000000,857.35,Medication,Riyadh,VIP
ORD_0000190,CUST_00671,2023-05-03,2023-05-03 00:00:00.000000,72.19,Medication,Jeddah,Retail
ORD_0000191,CUST_01743,2024-11-22,2024-11-22 00:00:00.000000,969.02,Medication,Mecca,Retail
ORD_0000192,CUST_01489,2022-03-08,2022-03-08 00:00:00.000000,788.97,Personal Care,Riyadh,VIP
ORD_0000193,CUST_00132,2023-01-21,2023-01-21 00:00:00.000000,518.44,Personal Care,Mecca,Retail
ORD_0000194,CUST_01538,2024-08-05,2024-08-05 00:00:00.000000,386.78,Medication,Jeddah,Retail
ORD_0000195,CUST_00659,2025-09-02,2025-09-02 00:00:00.000000,386.4,Personal Care,Medina,Retail
ORD_0000196,CUST_01957,2024-03-14,2024-03-14 00:00:00.000000,484.28,Personal Care,Dammam,Retail
ORD_0000197,CUST_01886,2025-07-19,2025-07-19 00:00:00.000000,592.3,Medication,Jeddah,Retail
ORD_0000198,CUST_01832,2022-12-28,2022-12-28 00:00:00.000000,463.04,Medication,Medina,Retail
ORD_0000199,CUST_00626,2024-10-23,2024-10-23 00:00:00.000000,890.93,Wellness,Riyadh,Retail
ORD_0000200,CUST_00521,2023-10-12,2023-10-12 00:00:00.000000,103.06,Wellness,Dammam,Retail
ORD_0000201,CUST_00910,2025-04-21,2025-04-21 00:00:00.000000,364.54,Wellness,Riyadh,Retail
ORD_0000202,CUST_01049,2024-10-07,2024-10-07 00:00:00.000000,349.65,Wellness,Jeddah,Retail
ORD_0000203,CUST_00837,2023-10-30,2023-10-30 00:00:00.000000,808.41,Wellness,Riyadh,Retail
ORD_0000204,CUST_00050,2022-11-19,2022-11-19 00:00:00.000000,452.85,Medication,Mecca,Retail
ORD_0000205,CUST_00735,2022-11-13,2022-11-13 00:00:00.000000,308.63,Personal Care,Medina,Corporate
ORD_0000206,CUST_01318,2022-07-27,2022-07-27 00:00:00.000000,790.16,Medication,Riyadh,Retail
ORD_0000207,CUST_00242,2021-12-13,2021-12-13 00:00:00.000000,373.03,Wellness,Medina,Retail
ORD_0000208,CUST_00402,2024-06-27,2024-06-27 00:00:00.000000,342.66,Personal Care,Riyadh,Retail
ORD_0000209,CUST_01731,2021-09-03,2021-09-03 00:00:00.000000,206.83,Medication,Jeddah,Retail
ORD_0000210,CUST_01751,2024-07-14,2024-07-14 21:27:26.725663,914.13,Wellness,Medina,Corporate
ORD_0000211,CUST_01684,2023-07-16,2023-07-16 00:00:00.000000,787.47,Wellness,Riyadh,Retail
ORD_0000212,CUST_01683,2023-12-09,2023-12-09 21:27:26.725671,762.65,Medication,Jeddah,Retail
ORD_0000213,CUST_01772,2023-07-26,2023-07-26 00:00:00.000000,243.03,Medication,Riyadh,Retail
ORD_0000214,CUST_00971,2022-02-23,2022-02-23 00:00:00.000000,525.51,Wellness,Mecca,Retail
ORD_0000215,CUST_01479,2024-12-05,2024-12-05 00:00:00.000000,472.17,Wellness,Medina,Retail
ORD_0000216,CUST_01732,2021-07-09,2021-07-09 00:00:00.000000,440.22,Wellness,Medina,Corporate
ORD_0000217,CUST_00429,2024-09-05,2024-09-05 00:00:00.000000,460.97,Wellness,Jeddah,VIP
ORD_0000218,CUST_00284,2024-04-06,2024-04-06 00:00:00.000000,876.28,Personal Care,Riyadh,Retail
ORD_0000219,CUST_00019,2024-08-06,2024-08-06 00:00:00.000000,814.19,Wellness,Medina,Retail
ORD_0000220,CUST_00461,2023-08-30,2023-08-30 00:00:00.000000,437.2,Personal Care,Medina,Retail
ORD_0000221,CUST_01101,2023-07-05,2023-07-05 00:00:00.000000,339.56,Medication,Jeddah,Retail
ORD_0000222,CUST_01888,2022-12-14,2022-12-14 00:00:00.000000,170.62,Wellness,Medina,Retail
ORD_0000223,CUST_01163,2025-05-02,2025-05-02 00:00:00.000000,803.16,Personal Care,Dammam,Retail
ORD_0000224,CUST_01775,2022-08-26,2022-08-26 00:00:00.000000,980.57,Wellness,Riyadh,Retail
ORD_0000225,CUST_00130,2025-05-17,2025-05-17 00:00:00.000000,398.71,Wellness,Riyadh,Retail
ORD_0000226,CUST_01166,2023-11-19,2023-11-19 00:00:00.000000,646.22,Medication,Mecca,Retail
ORD_0000227,CUST_00213,2025-01-23,2025-01-23 00:00:00.000000,194.08,Personal Care,Mecca,Corporate
ORD_0000228,CUST_01000,2022-03-02,2022-03-02 00:00:00.000000,202.96,Wellness,Medina,Retail
ORD_0000229,CUST_00581,2022-08-24,2022-08-24 00:00:00.000000,248.38,Medication,Mecca,VIP
ORD_0000230,CUST_00931,2024-06-16,2024-06-16 21:27:26.725722,381.28,Wellness,Mecca,Retail
ORD_0000231,CUST_00800,2021-12-15,2021-12-15 00:00:00.000000,989.8,Wellness,Jeddah,Retail
ORD_0000232,CUST_00979,2025-04-19,2025-04-19 00:00:00.000000,87.39,Medication,Mecca,Corporate
ORD_0000233,CUST_00266,2022-02-14,2022-02-14 00:00:00.000000,323.56,Personal Care,Medina,Retail
ORD_0000234,CUST_00972,2021-04-11,2021-04-11 00:00:00.000000,611.64,Personal Care,Jeddah,Retail
ORD_0000235,CUST_00415,2023-12-30,2023-12-30 00:00:00.000000,722.44,Medication,Medina,Retail
ORD_0000236,CUST_00015,2022-01-27,2022-01-27 00:00:00.000000,456.82,Personal Care,Dammam,Retail
ORD_0000237,CUST_01653,2023-08-11,2023-08-11 00:00:00.000000,535.34,Wellness,Jeddah,Retail
ORD_0000238,CUST_00942,2023-01-20,2023-01-20 00:00:00.000000,584.61,Wellness,Dammam,Retail
ORD_0000239,CUST_01323,2025-04-26,2025-04-26 00:00:00.000000,920.52,Personal Care,Dammam,VIP
ORD_0000240,CUST_01622,2021-12-16,2021-12-16 00:00:00.000000,403.27,Medication,Riyadh,Retail
ORD_0000241,CUST_00850,2022-05-28,2022-05-28 00:00:00.000000,195.99,Wellness,Mecca,Retail
ORD_0000242,CUST_00937,2022-09-20,2022-09-20 00:00:00.000000,912.62,Personal Care,Riyadh,Retail
ORD_0000243,CUST_00195,2024-08-15,2024-08-15 00:00:00.000000,704.67,Medication,Mecca,Retail
ORD_0000244,CUST_00560,2024-11-04,2024-11-04 00:00:00.000000,546.98,Medication,Medina,VIP
ORD_0000245,CUST_01429,2025-05-22,2025-05-22 00:00:00.000000,727.96,Wellness,Dammam,Retail
ORD_0000246,CUST_00842,2025-02-17,2025-02-17 00:00:00.000000,138.81,Medication,Mecca,Retail
ORD_0000247,CUST_01033,2024-12-03,2024-12-03 00:00:00.000000,783.92,Medication,Medina,Retail
