competitorid,name,price_index
CP0101,Competitor 101,1.16
CP0102,Competitor 102,0.79
CP0103,Competitor 103,0.73
CP0104,Competitor 104,0.96
CP0105,Competitor 105,0.94
CP0106,Competitor 106,0.79
CP0107,Competitor 107,0.84
CP0108,Competitor 108,1.13
CP0109,Competitor 109,1.09
CP0110,Competitor 110,0.89
CP0111,Competitor 111,0.79
CP0112,Competitor 112,1.04
CP0113,Competitor 113,0.73
CP0114,Competitor 114,0.73
CP0115,Competitor 115,0.75
CP0116,Competitor 116,1.0
CP0117,Competitor 117,0.94
CP0118,Competitor 118,1.18
CP0119,Competitor 119,0.93
CP0120,Competitor 120,1.23
CP0121,Competitor 121,1.22
CP0122,Competitor 122,1.08
CP0123,Competitor 123,1.13
CP0124,Competitor 124,0.77
CP0125,Competitor 125,0.95
CP0126,Competitor 126,1.08
CP0127,Competitor 127,1.23
CP0128,Competitor 128,1.08
CP0129,Competitor 129,0.96
CP0130,Competitor 130,1.14
CP0131,Competitor 131,1.04
CP0132,Competitor 132,0.9
CP0133,Competitor 133,0.97
CP0134,Competitor 134,1.07
CP0135,Competitor 135,0.98
CP0136,Competitor 136,1.25
CP0137,Competitor 137,0.93
CP0138,Competitor 138,1.04
CP0139,Competitor 139,1.16
CP0140,Competitor 140,1.18
CP0141,Competitor 141,1.15
CP0142,Competitor 142,1.26
CP0143,Competitor 143,0.71
CP0144,Competitor 144,0.97
CP0145,Competitor 145,1.16
CP0146,Competitor 146,1.23
CP0147,Competitor 147,0.84
CP0148,Competitor 148,0.78
CP0149,Competitor 149,0.95
CP0150,Competitor 150,0.9
CP0151,Competitor 151,0.74
CP0152,Competitor 152,0.78
CP0153,Competitor 153,0.89
CP0154,Competitor 154,1.04
CP0155,Competitor 155,0.98
CP0156,Competitor 156,1.05
CP0157,Competitor 157,1.23
CP0158,Competitor 158,1.25
CP0159,Competitor 159,0.85
CP0160,Competitor 160,1.27
CP0161,Competitor 161,0.73
CP0162,Competitor 162,1.19
CP0163,Competitor 163,0.75
CP0164,Competitor 164,1.06
CP0165,Competitor 165,1.26
CP0166,Competitor 166,0.74
CP0167,Competitor 167,0.87
CP0168,Competitor 168,1.23
CP0169,Competitor 169,0.96
CP0170,Competitor 170,1.17
CP0171,Competitor 171,0.96
CP0172,Competitor 172,1.14
CP0173,Competitor 173,0.87
CP0174,Competitor 174,1.21
CP0175,Competitor 175,1.1
CP0176,Competitor 176,0.98
CP0177,Competitor 177,1.19
CP0178,Competitor 178,0.8
CP0179,Competitor 179,1.17
CP0180,Competitor 180,1.19
CP0181,Competitor 181,0.73
CP0182,Competitor 182,0.91
CP0183,Competitor 183,0.83
CP0184,Competitor 184,1.04
CP0185,Competitor 185,0.8
CP0186,Competitor 186,1.22
CP0187,Competitor 187,0.93
CP0188,Competitor 188,1.15
CP0189,Competitor 189,1.1
CP0190,Competitor 190,1.24
CP0191,Competitor 191,0.76
CP0192,Competitor 192,1.14
CP0193,Competitor 193,1.11
CP0194,Competitor 194,1.13
CP0195,Competitor 195,0.99
CP0196,Competitor 196,1.14
CP0197,Competitor 197,0.98
CP0198,Competitor 198,1.17
CP0199,Competitor 199,1.01
CP0200,Competitor 200,0.94
CP0201,Competitor 201,1.05
CP0202,Competitor 202,1.22
CP0203,Competitor 203,0.97
CP0204,Competitor 204,0.85
CP0205,Competitor 205,1.03
CP0206,Competitor 206,1.14
CP0207,Competitor 207,0.78
CP0208,Competitor 208,0.82
CP0209,Competitor 209,0.78
CP0210,Competitor 210,0.98
CP0211,Competitor 211,1.2
CP0212,Competitor 212,0.76
CP0213,Competitor 213,0.98
CP0214,Competitor 214,1.05
CP0215,Competitor 215,0.91
CP0216,Competitor 216,0.81
CP0217,Competitor 217,1.15
CP0218,Competitor 218,0.96
CP0219,Competitor 219,1.27
CP0220,Competitor 220,0.7
CP0221,Competitor 221,0.82
CP0222,Competitor 222,1.08
CP0223,Competitor 223,0.89
CP0224,Competitor 224,0.76
CP0225,Competitor 225,1.05
CP0226,Competitor 226,1.25
CP0227,Competitor 227,1.18
CP0228,Competitor 228,1.1
CP0229,Competitor 229,0.76
CP0230,Competitor 230,1.23
CP0231,Competitor 231,0.95
CP0232,Competitor 232,1.27
CP0233,Competitor 233,0.76
CP0234,Competitor 234,0.75
CP0235,Competitor 235,0.99
CP0236,Competitor 236,1.28
CP0237,Competitor 237,0.76
CP0238,Competitor 238,1.11
CP0239,Competitor 239,1.21
CP0240,Competitor 240,0.77
CP0241,Competitor 241,0.71
CP0242,Competitor 242,0.97
CP0243,Competitor 243,1.21
CP0244,Competitor 244,0.91
CP0245,Competitor 245,0.8
CP0246,Competitor 246,1.0
CP0247,Competitor 247,0.85
CP0248,Competitor 248,1.13
CP0249,Competitor 249,0.79
CP0250,Competitor 250,1.14
CP0251,Competitor 251,0.74
CP0252,Competitor 252,0.92
CP0253,Competitor 253,1.1
CP0254,Competitor 254,0.83
CP0255,Competitor 255,1.0
CP0256,Competitor 256,1.02
CP0257,Competitor 257,0.89
CP0258,Competitor 258,1.07
CP0259,Competitor 259,1.03
CP0260,Competitor 260,1.28
CP0261,Competitor 261,0.98
CP0262,Competitor 262,1.09
CP0263,Competitor 263,1.06
CP0264,Competitor 264,0.86
CP0265,Competitor 265,0.91
CP0266,Competitor 266,1.15
CP0267,Competitor 267,0.99
CP0268,Competitor 268,0.97
CP0269,Competitor 269,1.13
CP0270,Competitor 270,1.01
CP0271,Competitor 271,1.0
CP0272,Competitor 272,1.03
CP0273,Competitor 273,0.98
CP0274,Competitor 274,0.78
CP0275,Competitor 275,1.12
CP0276,Competitor 276,1.05
CP0277,Competitor 277,0.94
CP0278,Competitor 278,0.8
CP0279,Competitor 279,1.17
CP0280,Competitor 280,0.82
CP0281,Competitor 281,1.29
CP0282,Competitor 282,1.22
CP0283,Competitor 283,0.74
CP0284,Competitor 284,0.98
CP0285,Competitor 285,1.04
CP0286,Competitor 286,1.23
CP0287,Competitor 287,0.99
CP0288,Competitor 288,0.73
CP0289,Competitor 289,1.11
CP0290,Competitor 290,0.79
CP0291,Competitor 291,0.82
CP0292,Competitor 292,1.02
CP0293,Competitor 293,0.86
CP0294,Competitor 294,1.26
CP0295,Competitor 295,1.03
CP0296,Competitor 296,1.11
CP0297,Competitor 297,0.97
CP0298,Competitor 298,0.98
CP0299,Competitor 299,0.97
CP0300,Competitor 300,1.04
