sessionid,timestamp,customerid,pageviews,events,city,channel,bounce,session_duration,conversion,source
S849832,2025-03-13 16:06:55,C34670,13,7,Medina,Web,0,743,1,referral
S629421,2025-03-22 18:43:55,C97977,13,11,Khobar,Tablet,0,194,1,email
S877735,2025-03-11 03:39:55,C78694,15,9,Medina,Web,1,512,0,social
S934164,2025-03-09 14:18:55,C55803,13,0,Dammam,Mobile,1,153,0,social
S385529,2025-03-16 13:07:55,C66609,8,3,Khobar,Mobile,1,869,0,paid
S561246,2025-02-27 19:11:55,C60504,7,2,Riyadh,Tablet,0,779,0,email
S295482,2025-03-13 15:01:55,C96632,14,8,Riyadh,Tablet,1,224,1,paid
S570914,2025-03-02 18:53:55,C20596,11,3,Khobar,Mobile,0,224,0,referral
S583062,2025-03-11 18:29:55,C75237,15,13,Jeddah,Web,0,529,0,social
S140855,2025-02-26 18:58:55,C91547,2,1,Mecca,Mobile,0,246,1,paid
S593178,2025-03-01 18:02:55,C20801,15,0,Medina,Mobile,1,770,0,email
S496996,2025-03-13 07:17:55,C49842,8,6,Mecca,Web,0,582,1,paid
S650599,2025-03-05 21:54:55,C66331,14,10,Khobar,Web,0,884,1,organic
S623578,2025-03-02 22:55:55,C81707,13,13,Dammam,Tablet,1,746,1,referral
S937600,2025-03-20 07:50:55,C99182,2,0,Khobar,Web,0,580,0,organic
S872122,2025-03-21 09:21:55,C73175,12,6,Riyadh,Tablet,0,173,0,email
S580694,2025-03-23 00:01:55,C96893,10,10,Riyadh,Mobile,0,836,0,organic
S325114,2025-02-27 10:22:55,C65083,5,5,Mecca,Mobile,1,750,0,organic
S815433,2025-02-27 01:46:55,C25100,10,2,Jeddah,Web,1,867,0,email
S304018,2025-03-15 14:10:55,C31417,13,1,Dammam,Tablet,1,148,0,paid
S213418,2025-03-23 12:58:55,C80100,14,8,Jeddah,Tablet,1,127,1,social
S570996,2025-03-25 04:00:55,C55722,9,1,Jeddah,Web,0,96,1,paid
S639641,2025-03-18 17:23:55,C45774,4,4,Riyadh,Mobile,0,313,1,referral
S480157,2025-03-05 11:38:55,C13361,11,0,Khobar,Tablet,1,358,0,organic
S899284,2025-02-26 17:08:55,C68892,10,10,Riyadh,Web,1,678,0,paid
S830583,2025-03-28 02:17:55,C60532,2,2,Khobar,Mobile,0,750,1,organic
S365191,2025-03-01 10:21:55,C19877,14,9,Dammam,Web,1,734,1,social
S772110,2025-03-15 11:00:55,C85557,3,2,Dammam,Mobile,1,536,1,paid
S969860,2025-03-25 08:44:55,C75876,5,2,Riyadh,Tablet,1,529,1,referral
S681171,2025-03-28 18:03:55,C88758,7,7,Mecca,Web,0,178,0,email
S417793,2025-03-13 00:28:55,C67483,10,9,Riyadh,Web,0,406,1,social
S348432,2025-03-17 04:19:55,C16751,15,12,Khobar,Mobile,1,524,1,referral
S629779,2025-03-27 10:52:55,C61900,11,10,Dammam,Mobile,0,824,1,email
S676161,2025-03-26 13:10:55,C96190,5,0,Mecca,Web,0,504,0,email
S236847,2025-03-27 10:52:55,C10812,10,7,Khobar,Tablet,0,643,1,paid
S778435,2025-03-18 19:51:55,C63345,1,0,Dammam,Web,0,476,0,paid
S258248,2025-03-21 19:36:55,C46805,15,5,Mecca,Mobile,1,244,1,email
S178945,2025-03-16 22:19:55,C64021,10,8,Medina,Mobile,0,444,1,referral
S997717,2025-03-01 08:29:55,C65114,14,10,Dammam,Tablet,0,393,0,organic
S795912,2025-03-08 10:18:55,C10327,12,9,Riyadh,Web,1,662,0,referral
S318037,2025-03-11 01:22:55,C67092,5,5,Mecca,Mobile,0,126,1,organic
S987351,2025-03-22 15:39:55,C49728,5,1,Medina,Web,1,185,1,paid
S170544,2025-03-15 23:02:55,C44487,10,5,Khobar,Mobile,1,754,0,organic
S335787,2025-03-18 09:18:55,C27229,7,6,Medina,Web,0,615,1,organic
S907021,2025-03-14 21:54:55,C65361,4,0,Mecca,Mobile,0,804,0,organic
S952136,2025-03-10 14:33:55,C36678,10,1,Mecca,Web,1,390,1,email
S249136,2025-03-19 03:13:55,C79169,13,6,Jeddah,Web,1,285,0,paid
S598682,2025-03-17 10:56:55,C99301,6,5,Jeddah,Tablet,0,463,0,social
S669127,2025-03-19 02:06:55,C32522,9,0,Khobar,Web,0,240,0,paid
S397735,2025-02-24 19:06:55,C66145,12,1,Dammam,Web,1,344,0,referral
S995597,2025-03-30 02:47:55,C11193,8,5,Mecca,Tablet,1,887,0,email
S371455,2025-03-27 05:14:55,C15032,10,0,Khobar,Mobile,1,530,0,paid
S699573,2025-03-09 15:49:55,C31405,10,8,Medina,Web,1,264,0,social
S468672,2025-03-30 04:28:55,C40044,1,0,Jeddah,Mobile,1,34,1,social
S773129,2025-03-25 02:11:55,C66164,4,3,Riyadh,Web,0,103,0,organic
S874407,2025-03-18 00:02:55,C22349,8,6,Mecca,Tablet,0,765,1,referral
S385379,2025-03-26 02:38:55,C75181,13,4,Mecca,Web,0,897,1,referral
S886845,2025-03-21 04:37:55,C63119,9,5,Mecca,Tablet,1,747,1,organic
S745516,2025-03-06 04:47:55,C77696,10,9,Khobar,Web,0,264,0,organic
S418340,2025-03-04 03:13:55,C20738,6,6,Jeddah,Mobile,1,816,1,referral
S454401,2025-03-11 13:45:55,C61491,12,2,Medina,Tablet,1,559,0,referral
S587062,2025-03-12 17:30:55,C36957,11,0,Jeddah,Web,0,62,0,paid
S978799,2025-03-17 18:51:55,C92280,10,7,Dammam,Tablet,0,653,0,referral
S254717,2025-02-26 04:35:55,C18974,15,9,Khobar,Web,0,196,1,referral
S836635,2025-03-06 19:53:55,C97746,6,3,Dammam,Tablet,1,478,1,social
S691176,2025-03-22 08:24:55,C42432,7,6,Jeddah,Tablet,0,268,0,paid
S173677,2025-03-26 05:56:55,C45614,13,6,Jeddah,Web,0,310,0,email
S734342,2025-02-27 22:13:55,C20981,8,2,Khobar,Web,0,56,1,referral
S494639,2025-03-29 16:41:55,C90239,3,3,Mecca,Mobile,0,569,0,organic
S412944,2025-03-04 00:23:55,C67079,2,0,Mecca,Tablet,1,225,1,organic
S681302,2025-03-24 20:16:55,C94418,8,8,Medina,Mobile,0,598,0,social
S418205,2025-03-12 08:44:55,C75147,4,0,Khobar,Web,0,599,1,organic
S208223,2025-03-16 17:38:55,C44148,3,1,Mecca,Tablet,1,482,0,paid
S679735,2025-03-08 22:57:55,C53437,1,0,Khobar,Tablet,0,43,0,organic
S352157,2025-03-09 12:37:55,C89690,8,7,Khobar,Tablet,0,855,1,organic
S654036,2025-03-15 14:55:55,C39606,4,1,Jeddah,Web,1,326,0,email
S579017,2025-03-01 03:26:55,C48241,2,1,Dammam,Mobile,0,501,1,social
S892917,2025-02-24 00:27:55,C96049,14,12,Jeddah,Mobile,0,737,0,referral
S152655,2025-02-25 10:29:55,C44744,10,0,Jeddah,Tablet,0,144,0,referral
S472928,2025-03-26 12:14:55,C54814,12,5,Khobar,Web,1,845,0,referral
S540008,2025-03-02 07:58:55,C22425,2,2,Dammam,Tablet,1,874,1,email
S157898,2025-03-14 00:21:55,C96858,6,0,Jeddah,Tablet,1,216,0,paid
S593851,2025-02-27 01:10:55,C80058,3,2,Mecca,Tablet,1,149,0,referral
S517912,2025-03-08 03:41:55,C72016,10,7,Dammam,Web,0,248,1,social
S251431,2025-02-24 06:41:55,C83696,12,5,Mecca,Tablet,0,399,1,referral
S663054,2025-03-13 12:25:55,C13571,9,3,Jeddah,Mobile,1,872,0,social
S676358,2025-03-26 01:23:55,C75985,15,15,Mecca,Web,0,196,1,social
S416135,2025-03-23 11:41:55,C46563,5,2,Mecca,Web,0,767,0,organic
S311088,2025-03-30 13:33:55,C91554,5,1,Khobar,Tablet,1,242,0,paid
S399639,2025-03-24 08:40:55,C66432,10,1,Medina,Tablet,1,431,1,email
S582476,2025-02-27 09:33:55,C95842,1,1,Mecca,Web,0,197,0,social
S694399,2025-03-16 15:21:55,C40063,11,10,Jeddah,Tablet,1,789,1,organic
S195969,2025-03-27 04:55:55,C96058,7,5,Dammam,Tablet,0,117,0,paid
S959930,2025-03-07 22:53:55,C39353,3,0,Medina,Tablet,0,98,0,social
S555645,2025-02-26 16:10:55,C34371,4,1,Khobar,Web,0,594,1,paid
S645235,2025-03-24 16:28:55,C56731,15,3,Jeddah,Mobile,1,474,1,organic
S334864,2025-03-08 16:24:55,C45462,15,11,Khobar,Mobile,0,744,1,paid
S622196,2025-03-22 02:57:55,C75302,10,1,Jeddah,Mobile,1,58,0,referral
S113854,2025-03-03 18:36:55,C84526,14,11,Dammam,Tablet,0,138,1,social
S747003,2025-03-28 06:59:55,C11368,2,2,Khobar,Mobile,1,789,0,social
S795399,2025-03-17 17:04:55,C79301,7,6,Mecca,Web,0,550,0,paid
S435724,2025-03-13 19:18:55,C67166,2,1,Mecca,Tablet,1,74,0,social
S197738,2025-03-17 05:02:55,C22837,7,7,Khobar,Web,1,142,0,organic
S689672,2025-03-18 05:24:55,C66530,14,2,Jeddah,Mobile,1,38,0,social
S312255,2025-02-24 07:18:55,C43235,12,7,Jeddah,Web,0,101,0,referral
S539531,2025-03-11 21:19:55,C27728,14,6,Medina,Tablet,1,571,1,paid
S189975,2025-02-26 22:41:55,C21890,9,0,Riyadh,Mobile,0,412,0,referral
S403577,2025-03-07 09:16:55,C33411,8,1,Jeddah,Tablet,0,258,0,email
S918999,2025-03-12 18:12:55,C98832,4,4,Mecca,Tablet,1,468,1,social
S443462,2025-03-14 21:31:55,C14158,2,2,Riyadh,Mobile,1,204,0,social
S255264,2025-03-05 19:10:55,C30455,7,7,Khobar,Web,1,706,1,paid
S467292,2025-03-12 05:54:55,C25377,11,6,Jeddah,Mobile,0,256,1,paid
S657199,2025-03-11 12:57:55,C54777,8,0,Riyadh,Mobile,1,115,1,email
S740396,2025-03-15 01:57:55,C57077,10,0,Khobar,Web,0,134,1,organic
S747257,2025-03-03 15:41:55,C46643,9,1,Jeddah,Web,1,282,0,email
S630791,2025-03-14 02:40:55,C90844,8,1,Mecca,Mobile,1,856,1,email
S195241,2025-03-04 21:01:55,C52852,5,3,Dammam,Mobile,1,465,1,organic
S369776,2025-03-10 18:19:55,C34452,4,2,Mecca,Tablet,0,195,1,email
S373933,2025-03-10 12:44:55,C29805,7,6,Riyadh,Tablet,1,498,1,organic
S372395,2025-03-27 20:03:55,C80454,13,3,Medina,Tablet,0,243,0,paid
S477117,2025-03-28 19:49:55,C64084,14,1,Dammam,Mobile,1,613,1,paid
S927553,2025-03-15 02:20:55,C91229,1,0,Dammam,Tablet,1,372,0,social
S636559,2025-03-18 13:33:55,C14679,14,4,Riyadh,Mobile,1,847,0,social
S187870,2025-03-03 14:47:55,C23248,14,4,Mecca,Mobile,0,748,0,referral
S293230,2025-03-11 04:47:55,C86177,4,4,Riyadh,Web,1,260,0,social
S907916,2025-03-16 21:38:55,C92521,8,4,Riyadh,Tablet,0,772,1,paid
S962522,2025-03-18 19:48:55,C24869,12,8,Khobar,Tablet,1,870,0,paid
S200261,2025-03-12 05:49:55,C95404,7,5,Khobar,Web,0,335,0,email
S361262,2025-03-06 22:47:55,C76490,14,1,Mecca,Web,1,546,1,social
S656969,2025-03-30 07:44:55,C50438,9,1,Riyadh,Mobile,0,791,1,social
S110021,2025-03-02 04:33:55,C11966,12,4,Jeddah,Tablet,1,883,1,email
S155558,2025-03-27 06:44:55,C38666,6,1,Mecca,Tablet,1,154,0,social
S198776,2025-02-26 21:11:55,C19265,9,3,Dammam,Tablet,1,640,1,social
S429463,2025-03-15 01:08:55,C93235,9,8,Medina,Mobile,0,411,1,paid
S410653,2025-03-07 04:51:55,C70943,8,2,Dammam,Web,0,716,0,paid
S379642,2025-03-17 07:58:55,C11506,10,3,Mecca,Web,0,835,0,organic
S148386,2025-03-29 10:22:55,C82999,8,8,Jeddah,Web,0,330,1,email
S759933,2025-02-28 23:42:55,C62649,15,4,Riyadh,Mobile,0,588,0,organic
S250075,2025-03-10 15:07:55,C39971,2,1,Mecca,Mobile,1,208,0,referral
S818032,2025-03-09 01:11:55,C68558,5,4,Medina,Web,1,842,0,paid
S245793,2025-03-07 03:50:55,C12439,2,0,Jeddah,Mobile,1,656,0,organic
S735127,2025-03-12 22:37:55,C82114,12,1,Jeddah,Mobile,1,634,0,social
S235788,2025-03-30 12:31:55,C89706,5,2,Jeddah,Mobile,0,580,1,paid
S391591,2025-03-03 22:04:55,C44385,14,9,Riyadh,Mobile,0,680,1,referral
S517185,2025-03-22 21:10:55,C81878,5,5,Dammam,Mobile,0,756,0,paid
S255103,2025-03-05 11:40:55,C42994,11,11,Riyadh,Mobile,1,742,1,organic
S848480,2025-02-27 13:47:55,C96019,4,0,Khobar,Mobile,0,344,0,email
S144643,2025-03-28 14:57:55,C13944,15,0,Jeddah,Tablet,1,634,1,organic
S139408,2025-03-03 01:50:55,C66896,14,12,Riyadh,Tablet,0,617,1,referral
S686998,2025-03-24 20:51:55,C28534,4,3,Riyadh,Mobile,1,669,1,social
S824432,2025-03-05 13:11:55,C77525,2,0,Mecca,Mobile,0,320,1,social
S240852,2025-03-01 15:03:55,C76514,14,5,Khobar,Tablet,1,705,0,email
S491192,2025-03-01 21:12:55,C75313,14,5,Dammam,Web,1,558,0,email
S406747,2025-03-22 23:37:55,C91329,12,0,Medina,Tablet,1,761,0,social
S185159,2025-03-11 15:16:55,C61251,6,3,Mecca,Web,1,194,0,social
S825849,2025-03-04 08:19:55,C40126,4,4,Riyadh,Web,0,714,0,organic
S375547,2025-02-25 08:14:55,C45977,11,0,Khobar,Mobile,0,631,0,paid
S737095,2025-03-25 09:54:55,C28289,8,4,Mecca,Tablet,0,349,0,paid
S617194,2025-03-28 03:42:55,C20267,2,0,Medina,Tablet,1,285,1,social
S985859,2025-03-26 20:32:55,C96393,5,4,Jeddah,Tablet,0,843,0,email
S279394,2025-03-26 04:44:55,C13045,4,2,Jeddah,Mobile,1,585,1,organic
S636887,2025-03-11 21:00:55,C99308,5,1,Jeddah,Web,0,467,0,paid
S883665,2025-03-03 06:24:55,C87976,5,0,Medina,Tablet,0,556,1,social
S344086,2025-03-07 20:43:55,C75665,1,1,Jeddah,Web,1,267,1,paid
S832241,2025-03-22 05:31:55,C14275,13,13,Jeddah,Mobile,0,894,0,social
S950164,2025-03-20 21:01:55,C92380,6,5,Khobar,Tablet,1,836,0,organic
S152795,2025-03-19 17:55:55,C31938,11,10,Khobar,Mobile,0,302,0,referral
S921235,2025-03-07 16:41:55,C23353,4,2,Jeddah,Mobile,1,606,0,referral
S623481,2025-02-25 11:14:55,C56780,8,5,Medina,Mobile,1,650,0,email
S443472,2025-03-25 06:27:55,C15567,11,8,Jeddah,Web,1,531,0,paid
S440044,2025-02-25 18:18:55,C54186,9,9,Khobar,Web,0,386,1,referral
S889401,2025-03-20 01:04:55,C97747,5,2,Khobar,Web,0,874,0,email
S946238,2025-02-24 05:08:55,C67517,4,2,Khobar,Web,0,626,0,organic
S762508,2025-03-26 04:40:55,C26598,10,1,Mecca,Mobile,0,446,0,referral
S748106,2025-02-28 15:31:55,C51142,11,5,Khobar,Mobile,0,444,0,referral
S907634,2025-03-05 10:50:55,C53429,6,3,Mecca,Mobile,1,174,0,organic
S604473,2025-03-16 19:34:55,C84287,11,1,Jeddah,Mobile,1,264,0,paid
S676432,2025-03-24 20:52:55,C37279,15,12,Jeddah,Web,1,662,0,organic
S203552,2025-03-01 12:19:55,C72038,3,3,Medina,Web,1,215,0,referral
S307337,2025-02-24 17:02:55,C92227,13,9,Medina,Tablet,1,401,1,social
S206087,2025-03-02 16:13:55,C69650,14,5,Dammam,Web,0,818,0,paid
S880433,2025-03-22 11:15:55,C55264,15,12,Khobar,Mobile,0,57,1,organic
S596047,2025-03-30 12:04:55,C94718,4,1,Dammam,Tablet,1,759,1,referral
S713816,2025-03-06 09:57:55,C70438,7,1,Medina,Web,1,194,0,email
S158071,2025-03-23 22:10:55,C56749,6,6,Riyadh,Mobile,1,759,0,social
S840034,2025-03-05 07:25:55,C82306,11,0,Riyadh,Tablet,0,628,1,social
S202122,2025-02-26 06:08:55,C32626,2,0,Khobar,Web,1,118,1,referral
S788535,2025-03-07 17:48:55,C76128,10,3,Riyadh,Tablet,1,420,1,social
S544411,2025-03-02 01:40:55,C65987,15,14,Khobar,Mobile,1,767,1,organic
S873014,2025-03-03 16:20:55,C89079,14,11,Medina,Tablet,0,76,0,email
S469085,2025-02-28 01:59:55,C33042,9,5,Dammam,Web,0,853,0,paid
S759644,2025-03-24 12:40:55,C86045,15,4,Riyadh,Mobile,0,844,0,social
S788534,2025-03-14 07:50:55,C75480,9,7,Dammam,Web,0,117,1,social
S269459,2025-03-14 22:43:55,C52154,11,10,Mecca,Web,1,52,0,referral
S531955,2025-03-03 06:36:55,C31894,2,2,Jeddah,Tablet,1,599,1,email
S593963,2025-03-13 03:45:55,C65587,10,2,Riyadh,Tablet,1,633,1,paid
S276724,2025-03-18 20:45:55,C59926,6,0,Mecca,Web,0,478,1,referral
S636732,2025-03-18 00:23:55,C43153,2,2,Riyadh,Mobile,0,393,1,paid
S829453,2025-03-25 18:08:55,C81850,8,1,Mecca,Web,1,681,1,referral
S269646,2025-03-29 07:05:55,C28348,2,0,Jeddah,Mobile,0,697,0,organic
S932745,2025-03-20 13:18:55,C45959,11,8,Medina,Tablet,0,889,1,social
S455231,2025-03-06 06:23:55,C48286,8,1,Dammam,Web,1,835,1,social
S688651,2025-02-24 18:32:55,C33987,3,2,Mecca,Web,0,704,1,email
S893555,2025-03-05 21:17:55,C13273,2,0,Mecca,Tablet,1,193,0,referral
S985840,2025-03-18 18:21:55,C39993,14,0,Jeddah,Web,1,112,1,organic
S954481,2025-03-25 16:08:55,C20211,5,0,Khobar,Tablet,0,812,0,email
S550750,2025-03-23 04:09:55,C88922,1,0,Dammam,Tablet,1,571,1,email
S487607,2025-03-27 11:05:55,C76956,5,0,Jeddah,Mobile,1,250,1,organic
S945999,2025-03-25 10:48:55,C82051,15,11,Khobar,Mobile,1,462,1,referral
S947344,2025-03-25 13:11:55,C49322,3,3,Jeddah,Mobile,1,573,1,social
S457259,2025-03-14 22:04:55,C30995,13,7,Jeddah,Web,1,858,1,paid
S517557,2025-03-14 21:42:55,C59552,13,5,Mecca,Mobile,1,851,0,social
S549934,2025-03-14 00:23:55,C89365,6,0,Khobar,Tablet,0,235,1,referral
S337544,2025-03-20 12:41:55,C62753,5,1,Medina,Mobile,1,548,1,email
S199702,2025-02-25 16:51:55,C31849,11,1,Jeddah,Web,1,881,0,paid
S147139,2025-03-18 21:27:55,C45327,2,2,Jeddah,Web,1,177,0,referral
S859790,2025-03-30 05:45:55,C57763,13,13,Medina,Mobile,0,717,1,organic
S602119,2025-02-25 13:58:55,C43115,7,3,Medina,Tablet,0,208,0,referral
S665434,2025-03-07 10:16:55,C18487,3,1,Jeddah,Mobile,0,557,0,email
S311397,2025-03-05 05:55:55,C33319,14,9,Mecca,Tablet,0,511,1,organic
S448793,2025-03-17 07:27:55,C52989,14,0,Mecca,Tablet,0,486,0,social
S689501,2025-03-19 00:14:55,C62233,13,6,Riyadh,Web,1,771,0,paid
S613562,2025-03-30 03:44:55,C62511,13,10,Dammam,Web,0,646,0,paid
S819610,2025-03-11 18:40:55,C63841,4,0,Medina,Web,0,218,1,email
S712484,2025-03-12 11:00:55,C89015,8,3,Medina,Web,0,94,0,referral
S299534,2025-02-24 10:30:55,C52793,15,15,Dammam,Tablet,1,529,1,email
S472339,2025-03-22 03:07:55,C47716,8,3,Khobar,Mobile,0,56,1,referral
S473226,2025-02-25 10:35:55,C47169,10,7,Jeddah,Tablet,1,340,0,email
S351446,2025-02-28 00:23:55,C44521,8,5,Medina,Web,1,533,0,organic
S905377,2025-03-24 00:29:55,C37510,8,2,Mecca,Mobile,0,550,1,social
S779733,2025-02-27 16:40:55,C42647,4,0,Khobar,Mobile,0,130,1,social
S465157,2025-02-24 08:39:55,C90928,13,5,Jeddah,Web,1,563,0,social
S637092,2025-03-25 15:45:55,C83866,5,5,Riyadh,Web,1,824,0,paid
S619710,2025-03-30 09:17:55,C98613,1,1,Dammam,Web,0,873,1,paid
S320806,2025-03-02 20:26:55,C82495,1,0,Mecca,Tablet,1,276,0,paid
S683389,2025-03-19 08:25:55,C40801,12,8,Jeddah,Mobile,0,521,1,email
S344199,2025-02-24 00:26:55,C80555,9,4,Riyadh,Web,0,196,1,social
S691053,2025-03-03 15:14:55,C61702,9,0,Mecca,Mobile,0,209,1,organic
S675084,2025-03-22 09:39:55,C37755,2,1,Riyadh,Web,1,679,1,paid
S776274,2025-03-16 18:51:55,C70127,9,3,Mecca,Tablet,0,628,0,organic
S911343,2025-03-19 11:15:55,C69586,4,0,Mecca,Web,0,59,1,social
S424854,2025-03-10 23:08:55,C44863,13,4,Jeddah,Mobile,1,127,0,organic
S262132,2025-03-13 02:36:55,C80350,3,3,Mecca,Tablet,0,451,1,referral
S749370,2025-03-21 11:43:55,C17529,5,5,Dammam,Tablet,1,868,0,referral
S734364,2025-03-04 03:51:55,C74154,13,4,Riyadh,Mobile,1,732,0,social
S894872,2025-03-08 03:08:55,C48276,9,8,Mecca,Tablet,1,840,0,organic
S857664,2025-03-19 06:57:55,C35520,8,0,Jeddah,Mobile,0,718,0,organic
S232093,2025-03-01 15:49:55,C51445,5,1,Khobar,Tablet,0,696,1,referral
S336463,2025-03-04 15:40:55,C32243,2,1,Dammam,Tablet,0,102,0,referral
S678078,2025-03-21 02:53:55,C42084,8,4,Riyadh,Mobile,0,270,1,social
S471954,2025-03-18 21:21:55,C21360,8,0,Mecca,Web,1,620,0,paid
S698351,2025-03-07 23:29:55,C22667,1,0,Jeddah,Tablet,1,160,1,social
S856881,2025-03-13 07:56:55,C91383,9,6,Medina,Web,0,257,0,email
S967032,2025-03-11 23:37:55,C37618,13,6,Dammam,Web,1,385,1,paid
S449925,2025-03-12 20:31:55,C23159,15,12,Dammam,Web,0,783,0,social
S565094,2025-03-12 07:13:55,C70428,3,1,Riyadh,Web,0,720,1,organic
S443046,2025-02-25 22:32:55,C90149,6,2,Jeddah,Mobile,1,487,0,paid
S356009,2025-03-14 02:35:55,C91775,9,8,Dammam,Web,0,307,0,referral
S752455,2025-03-25 11:12:55,C24569,11,5,Medina,Tablet,1,524,1,referral
S868099,2025-03-28 23:11:55,C54793,15,10,Jeddah,Web,1,760,1,organic
S475779,2025-03-05 15:34:55,C12339,15,7,Dammam,Mobile,1,673,1,email
S281661,2025-03-22 01:48:55,C67453,4,1,Jeddah,Tablet,0,821,0,email
S946391,2025-03-27 23:48:55,C47820,12,12,Khobar,Mobile,0,161,1,email
S864739,2025-03-23 16:38:55,C12026,8,2,Khobar,Web,0,281,1,social
S169923,2025-03-17 13:59:55,C96081,2,2,Medina,Tablet,1,611,1,social
S249225,2025-03-20 03:06:55,C30028,2,2,Khobar,Web,0,143,1,email
S693956,2025-03-19 07:51:55,C50392,9,7,Mecca,Web,1,898,1,social
S601370,2025-03-06 15:08:55,C83394,7,0,Medina,Mobile,1,620,1,referral
S897676,2025-03-23 01:55:55,C52539,15,8,Khobar,Mobile,1,691,1,email
S566878,2025-03-17 22:14:55,C40027,2,2,Dammam,Tablet,1,61,1,referral
S708775,2025-03-10 04:47:55,C50142,7,7,Jeddah,Tablet,1,136,0,paid
S797104,2025-02-27 12:29:55,C48808,6,3,Dammam,Web,0,697,1,social
S689439,2025-03-17 01:48:55,C28663,10,8,Dammam,Tablet,1,495,0,email
S481219,2025-03-09 22:30:55,C95569,5,4,Medina,Web,1,178,0,social
S408060,2025-03-21 06:01:55,C92577,8,6,Medina,Mobile,0,61,1,paid
S538477,2025-02-28 18:43:55,C48939,5,1,Medina,Mobile,1,182,1,referral
