attributionid,orderid,campaignid,revenue,channel,platform
A000083,ORD000668,CAMP0229,405.8,Mobile,snapchat
A000084,ORD004402,CAMP0089,378.58,Web,google
A000085,ORD001849,CAMP0168,182.12,Web,google
A000086,ORD001938,CAMP0139,76.18,Retail,google
A000087,ORD001791,CAMP0086,55.03,Retail,meta
A000088,ORD000740,CAMP0069,77.13,Web,google
A000089,ORD003000,CAMP0166,55.48,Web,snapchat
A000090,ORD001976,CAMP0134,7.04,Web,meta
A000091,ORD002948,CAMP0202,44.01,Retail,tiktok
A000092,ORD003633,CAMP0102,3.86,Web,snapchat
A000093,ORD003687,CAMP0121,42.35,Retail,snapchat
A000094,ORD003791,CAMP0060,946.45,Web,google
A000095,ORD004988,CAMP0099,24.5,Mobile,meta
A000096,ORD004849,CAMP0077,239.37,Retail,google
A000097,ORD000616,CAMP0036,147.42,Mobile,google
A000098,ORD003711,CAMP0090,98.28,Mobile,tiktok
A000099,ORD000559,CAMP0239,57.3,Web,tiktok
A000100,ORD003999,CAMP0176,34.43,Web,google
A000101,ORD003619,CAMP0155,189.64,Mobile,meta
A000102,ORD003431,CAMP0104,24.5,Mobile,snapchat
A000103,ORD003871,CAMP0184,44.0,Mobile,tiktok
A000104,ORD004393,CAMP0203,7.58,Mobile,google
A000105,ORD002508,CAMP0017,759.05,Web,tiktok
A000106,ORD004479,CAMP0185,15.58,Retail,google
A000107,ORD004508,CAMP0155,15.45,Web,tiktok
A000108,ORD003911,CAMP0034,879.1,Retail,snapchat
A000109,ORD003665,CAMP0031,107.52,Web,tiktok
A000110,ORD000231,CAMP0052,127.78,Mobile,google
A000111,ORD000802,CAMP0240,9.0,Mobile,meta
A000112,ORD000699,CAMP0047,24.5,Mobile,google
A000113,ORD002845,CAMP0249,21.26,Web,tiktok
A000114,ORD000045,CAMP0093,53.76,Mobile,snapchat
A000115,ORD003779,CAMP0173,44.01,Web,tiktok
A000116,ORD002223,CAMP0084,80.17,Web,meta
A000117,ORD004221,CAMP0088,55.48,Retail,tiktok
A000118,ORD003910,CAMP0053,196.56,Web,tiktok
A000119,ORD002679,CAMP0072,45.12,Web,meta
A000120,ORD001501,CAMP0244,25.88,Mobile,meta
A000121,ORD002179,CAMP0126,92.63,Mobile,snapchat
A000122,ORD001626,CAMP0105,55.48,Web,google
A000123,ORD003713,CAMP0122,66.04,Web,tiktok
A000124,ORD003337,CAMP0066,149.2,Web,tiktok
A000125,ORD002612,CAMP0226,60.08,Mobile,tiktok
A000126,ORD002010,CAMP0063,49.02,Web,meta
A000127,ORD003524,CAMP0055,20.76,Web,tiktok
A000128,ORD002792,CAMP0122,59.66,Retail,snapchat
A000129,ORD002890,CAMP0061,212.2,Mobile,meta
A000130,ORD003414,CAMP0048,16.2,Mobile,tiktok
A000131,ORD003102,CAMP0122,45.53,Mobile,tiktok
A000132,ORD003301,CAMP0214,185.26,Web,tiktok
A000133,ORD004781,CAMP0125,238.64,Web,google
A000134,ORD000393,CAMP0039,5.69,Web,tiktok
A000135,ORD002095,CAMP0025,93.49,Mobile,meta
A000136,ORD000254,CAMP0194,107.04,Mobile,snapchat
A000137,ORD003378,CAMP0038,83.73,Retail,meta
A000138,ORD004432,CAMP0001,6.6,Web,google
A000139,ORD001688,CAMP0174,30.26,Web,google
A000140,ORD000332,CAMP0218,45.53,Web,meta
A000141,ORD003837,CAMP0054,328.89,Mobile,google
A000142,ORD003179,CAMP0080,33.94,Web,tiktok
A000143,ORD002245,CAMP0218,18.99,Web,meta
A000144,ORD004559,CAMP0175,7.04,Web,meta
A000145,ORD001693,CAMP0061,18.88,Web,tiktok
A000146,ORD001464,CAMP0032,17.5,Mobile,snapchat
A000147,ORD002651,CAMP0185,51.95,Mobile,meta
A000148,ORD000533,CAMP0009,150.02,Web,snapchat
A000149,ORD003864,CAMP0215,49.4,Retail,meta
A000150,ORD002409,CAMP0096,223.28,Web,google
A000151,ORD000851,CAMP0186,106.54,Web,snapchat
A000152,ORD002716,CAMP0218,50.56,Mobile,tiktok
A000153,ORD002786,CAMP0106,97.12,Web,tiktok
A000154,ORD000612,CAMP0224,7.08,Mobile,google
A000155,ORD003545,CAMP0059,16.38,Web,tiktok
A000156,ORD004787,CAMP0010,106.54,Web,meta
A000157,ORD003504,CAMP0111,208.0,Retail,snapchat
A000158,ORD003146,CAMP0159,275.88,Mobile,meta
A000159,ORD003963,CAMP0066,51.16,Mobile,tiktok
A000160,ORD002274,CAMP0230,95.28,Mobile,tiktok
A000161,ORD004722,CAMP0118,41.15,Web,snapchat
A000162,ORD004665,CAMP0010,10.3,Web,tiktok
A000163,ORD003560,CAMP0177,83.84,Web,snapchat
A000164,ORD001816,CAMP0095,27.48,Mobile,meta
A000165,ORD004983,CAMP0003,73.28,Web,google
A000166,ORD001324,CAMP0010,36.08,Mobile,snapchat
A000167,ORD004408,CAMP0002,200.79,Mobile,meta
A000168,ORD004356,CAMP0177,73.62,Mobile,google
A000169,ORD000275,CAMP0031,39.37,Web,meta
A000170,ORD003887,CAMP0072,25.16,Retail,tiktok
A000171,ORD004633,CAMP0006,24.97,Mobile,google
A000172,ORD002483,CAMP0232,37.98,Web,google
A000173,ORD000244,CAMP0079,78.08,Web,google
A000174,ORD003481,CAMP0016,339.33,Mobile,snapchat
A000175,ORD002515,CAMP0156,33.72,Mobile,tiktok
A000176,ORD003068,CAMP0081,781.8,Web,google
A000177,ORD003144,CAMP0209,419.2,Web,snapchat
A000178,ORD002917,CAMP0212,114.52,Web,google
A000179,ORD003174,CAMP0048,156.75,Mobile,google
A000180,ORD000348,CAMP0137,94.29,Web,google
A000181,ORD003079,CAMP0155,25.74,Mobile,google
A000182,ORD002594,CAMP0080,42.51,Web,snapchat
A000183,ORD003927,CAMP0229,38.37,Web,google
A000184,ORD004056,CAMP0010,140.67,Retail,google
A000185,ORD004334,CAMP0066,30.04,Retail,tiktok
A000186,ORD000043,CAMP0044,350.13,Web,meta
A000187,ORD004071,CAMP0193,185.46,Mobile,tiktok
A000188,ORD002103,CAMP0010,49.02,Mobile,snapchat
A000189,ORD002560,CAMP0013,64.0,Web,tiktok
A000190,ORD001763,CAMP0086,106.35,Retail,meta
A000191,ORD000282,CAMP0026,89.73,Mobile,tiktok
A000192,ORD004451,CAMP0206,239.37,Mobile,google
A000193,ORD004629,CAMP0042,36.6,Mobile,tiktok
A000194,ORD000140,CAMP0018,10.68,Web,tiktok
A000195,ORD002824,CAMP0181,446.56,Retail,snapchat
A000196,ORD004680,CAMP0101,112.55,Mobile,meta
A000197,ORD002476,CAMP0161,116.71,Mobile,google
A000198,ORD004295,CAMP0050,50.15,Mobile,snapchat
A000199,ORD001994,CAMP0207,212.74,Web,meta
A000200,ORD001445,CAMP0155,463.65,Mobile,snapchat
A000201,ORD000766,CAMP0230,34.06,Web,snapchat
A000202,ORD002076,CAMP0234,448.65,Web,google
A000203,ORD004030,CAMP0227,27.57,Mobile,snapchat
A000204,ORD002183,CAMP0168,69.44,Mobile,tiktok
A000205,ORD004766,CAMP0241,303.62,Web,meta
A000206,ORD004858,CAMP0127,318.6,Web,meta
A000207,ORD003472,CAMP0080,37.64,Web,tiktok
A000208,ORD004675,CAMP0178,101.52,Mobile,snapchat
A000209,ORD003187,CAMP0201,161.65,Mobile,meta
A000210,ORD003395,CAMP0073,397.16,Web,snapchat
A000211,ORD003879,CAMP0049,95.8,Web,tiktok
A000212,ORD004677,CAMP0037,106.54,Mobile,snapchat
A000213,ORD001114,CAMP0243,17.36,Retail,meta
A000214,ORD001638,CAMP0212,319.16,Web,snapchat
A000215,ORD004946,CAMP0094,11.65,Web,google
A000216,ORD003690,CAMP0031,96.03,Mobile,snapchat
A000217,ORD003106,CAMP0077,13.02,Retail,tiktok
A000218,ORD001964,CAMP0044,125.75,Mobile,snapchat
A000219,ORD000049,CAMP0156,32.33,Retail,tiktok
A000220,ORD003184,CAMP0014,17.87,Mobile,snapchat
A000221,ORD002039,CAMP0128,12.68,Web,google
A000222,ORD002394,CAMP0055,13.88,Mobile,snapchat
A000223,ORD002512,CAMP0179,18.1,Web,tiktok
A000224,ORD000455,CAMP0132,11.4,Web,snapchat
A000225,ORD002060,CAMP0154,94.82,Retail,tiktok
A000226,ORD000584,CAMP0224,5.41,Web,meta
A000227,ORD004732,CAMP0181,183.96,Mobile,google
A000228,ORD004925,CAMP0162,18.88,Retail,tiktok
A000229,ORD001153,CAMP0066,34.94,Web,google
A000230,ORD004102,CAMP0077,31.89,Web,meta
A000231,ORD004022,CAMP0178,160.24,Web,meta
A000232,ORD001112,CAMP0116,90.6,Mobile,snapchat
A000233,ORD000581,CAMP0105,21.82,Web,tiktok
A000234,ORD002695,CAMP0042,358.92,Mobile,snapchat
A000235,ORD000889,CAMP0135,7.04,Web,google
A000236,ORD004667,CAMP0071,37.98,Web,tiktok
A000237,ORD003961,CAMP0125,36.08,Web,meta
A000238,ORD000283,CAMP0214,13.02,Web,tiktok
A000239,ORD000974,CAMP0214,16.26,Web,meta
A000240,ORD003190,CAMP0198,9.12,Mobile,snapchat
A000241,ORD002050,CAMP0105,22.69,Web,meta
A000242,ORD002028,CAMP0149,594.68,Web,meta
A000243,ORD004091,CAMP0031,33.26,Mobile,google
A000244,ORD003997,CAMP0134,5.15,Mobile,meta
A000245,ORD004902,CAMP0011,59.45,Retail,meta
A000246,ORD002437,CAMP0002,175.82,Mobile,google
A000247,ORD001866,CAMP0221,104.48,Mobile,snapchat
A000248,ORD004852,CAMP0002,47.5,Web,meta
A000249,ORD000909,CAMP0206,110.06,Web,google
A000250,ORD001065,CAMP0217,66.9,Mobile,meta
A000251,ORD004991,CAMP0145,150.58,Web,snapchat
A000252,ORD000051,CAMP0150,33.81,Web,meta
A000253,ORD002784,CAMP0021,246.69,Web,google
A000254,ORD003423,CAMP0144,24.97,Mobile,google
A000255,ORD002119,CAMP0077,24.24,Mobile,meta
A000256,ORD000359,CAMP0066,117.54,Mobile,google
A000257,ORD003863,CAMP0126,36.08,Retail,snapchat
A000258,ORD001774,CAMP0150,12.64,Mobile,meta
A000259,ORD003267,CAMP0051,142.62,Mobile,tiktok
A000260,ORD000435,CAMP0129,19.12,Web,google
A000261,ORD003889,CAMP0156,341.7,Web,tiktok
A000262,ORD000712,CAMP0174,98.36,Web,meta
A000263,ORD000801,CAMP0156,44.04,Web,snapchat
A000264,ORD003891,CAMP0138,188.58,Mobile,meta
A000265,ORD002621,CAMP0011,104.48,Web,snapchat
A000266,ORD003489,CAMP0143,153.45,Web,tiktok
A000267,ORD000420,CAMP0204,69.87,Web,tiktok
A000268,ORD000328,CAMP0042,43.12,Retail,google
A000269,ORD002316,CAMP0035,13.26,Web,tiktok
A000270,ORD000149,CAMP0233,31.47,Web,snapchat
A000271,ORD004135,CAMP0071,83.73,Retail,google
A000272,ORD004894,CAMP0004,20.42,Retail,tiktok
A000273,ORD001436,CAMP0073,51.26,Mobile,google
A000274,ORD004907,CAMP0086,76.14,Web,tiktok
A000275,ORD004086,CAMP0071,65.04,Mobile,google
A000276,ORD003813,CAMP0098,22.76,Mobile,meta
A000277,ORD002717,CAMP0082,260.92,Web,google
A000278,ORD003705,CAMP0156,44.44,Web,meta
A000279,ORD002670,CAMP0107,152.07,Web,google
A000280,ORD000758,CAMP0212,14.08,Retail,tiktok
A000281,ORD002330,CAMP0146,37.16,Mobile,google
A000282,ORD004978,CAMP0193,174.9,Mobile,tiktok
A000283,ORD003748,CAMP0133,12.95,Retail,meta
A000284,ORD003543,CAMP0012,12.25,Web,tiktok
A000285,ORD002373,CAMP0086,4.5,Mobile,tiktok
A000286,ORD004212,CAMP0138,41.06,Mobile,tiktok
A000287,ORD004739,CAMP0116,98.62,Mobile,tiktok
A000288,ORD004149,CAMP0068,5.15,Retail,snapchat
A000289,ORD001691,CAMP0089,77.22,Web,meta
A000290,ORD004366,CAMP0206,37.98,Web,meta
A000291,ORD004578,CAMP0142,85.02,Mobile,meta
A000292,ORD000409,CAMP0162,94.41,Web,meta
A000293,ORD004382,CAMP0154,167.46,Web,snapchat
A000294,ORD003196,CAMP0227,53.27,Web,snapchat
A000295,ORD001337,CAMP0043,206.25,Mobile,snapchat
A000296,ORD001604,CAMP0076,31.35,Retail,tiktok
A000297,ORD003242,CAMP0024,3.99,Web,google
A000298,ORD004791,CAMP0168,284.46,Mobile,google
A000299,ORD001765,CAMP0190,241.13,Web,tiktok
A000300,ORD000163,CAMP0121,11.24,Mobile,snapchat
A000301,ORD001075,CAMP0021,15.08,Web,snapchat
A000302,ORD003206,CAMP0090,121.89,Mobile,snapchat
A000303,ORD000671,CAMP0190,32.76,Web,tiktok
A000304,ORD001373,CAMP0188,22.1,Web,google
A000305,ORD001263,CAMP0062,38.24,Mobile,google
A000306,ORD000430,CAMP0234,14.53,Mobile,tiktok
A000307,ORD004462,CAMP0025,234.11,Web,google
A000308,ORD001639,CAMP0099,94.95,Retail,snapchat
A000309,ORD003803,CAMP0104,18.99,Web,snapchat
A000310,ORD001651,CAMP0125,185.46,Mobile,snapchat
A000311,ORD001478,CAMP0050,107.04,Mobile,google
A000312,ORD003446,CAMP0214,36.44,Retail,snapchat
A000313,ORD001033,CAMP0155,21.26,Web,meta
A000314,ORD001418,CAMP0104,116.4,Web,tiktok
A000315,ORD000410,CAMP0052,428.67,Web,google
A000316,ORD003662,CAMP0161,76.06,Mobile,snapchat
A000317,ORD004464,CAMP0088,381.78,Web,snapchat
A000318,ORD002728,CAMP0060,4.5,Web,google
A000319,ORD002516,CAMP0112,259.48,Web,meta
A000320,ORD000264,CAMP0049,30.04,Mobile,google
A000321,ORD002007,CAMP0109,195.08,Mobile,meta
A000322,ORD004647,CAMP0055,73.77,Mobile,meta
A000323,ORD000604,CAMP0073,117.8,Mobile,google
A000324,ORD004556,CAMP0142,227.8,Web,google
A000325,ORD001612,CAMP0116,89.73,Mobile,tiktok
A000326,ORD003285,CAMP0086,69.77,Mobile,tiktok
A000327,ORD001151,CAMP0087,10.43,Mobile,google
A000328,ORD004857,CAMP0127,263.64,Web,snapchat
A000329,ORD003866,CAMP0196,16.26,Mobile,google
A000330,ORD001127,CAMP0206,96.96,Mobile,snapchat
A000331,ORD004699,CAMP0175,49.93,Mobile,tiktok
A000332,ORD001082,CAMP0003,11.4,Mobile,google
A000333,ORD000182,CAMP0235,60.0,Mobile,google
A000334,ORD002596,CAMP0196,811.6,Web,google
A000335,ORD002275,CAMP0114,159.3,Retail,tiktok
A000336,ORD002780,CAMP0121,378.99,Web,meta
A000337,ORD003340,CAMP0066,85.15,Mobile,tiktok
A000338,ORD004964,CAMP0187,450.2,Web,google
A000339,ORD004655,CAMP0192,45.27,Retail,tiktok
A000340,ORD003019,CAMP0191,65.23,Web,tiktok
A000341,ORD003843,CAMP0131,55.03,Web,snapchat
A000342,ORD001815,CAMP0174,8.67,Web,google
A000343,ORD000519,CAMP0157,20.01,Web,tiktok
A000344,ORD003462,CAMP0229,24.72,Retail,snapchat
A000345,ORD003771,CAMP0228,57.21,Retail,google
A000346,ORD002166,CAMP0244,714.45,Mobile,tiktok
A000347,ORD000610,CAMP0002,97.54,Web,snapchat
A000348,ORD000330,CAMP0145,111.97,Web,google
A000349,ORD004000,CAMP0184,183.0,Web,google
A000350,ORD001672,CAMP0012,10.43,Web,snapchat
A000351,ORD004385,CAMP0150,6.34,Retail,snapchat
A000352,ORD003138,CAMP0060,114.09,Web,snapchat
A000353,ORD001790,CAMP0189,166.28,Mobile,snapchat
A000354,ORD002383,CAMP0015,259.35,Web,google
A000355,ORD004634,CAMP0111,77.88,Mobile,meta
A000356,ORD004612,CAMP0010,75.01,Retail,meta
A000357,ORD000902,CAMP0233,38.24,Mobile,tiktok
A000358,ORD003268,CAMP0177,35.0,Web,meta
A000359,ORD000256,CAMP0172,29.59,Web,snapchat
A000360,ORD002889,CAMP0151,233.2,Web,meta
A000361,ORD002126,CAMP0107,41.72,Retail,google
A000362,ORD004884,CAMP0211,1113.9,Web,google
A000363,ORD003615,CAMP0128,55.48,Mobile,tiktok
A000364,ORD002977,CAMP0192,23.78,Web,tiktok
A000365,ORD003988,CAMP0107,49.02,Web,snapchat
A000366,ORD000780,CAMP0112,6.97,Web,tiktok
A000367,ORD004917,CAMP0192,44.01,Web,meta
A000368,ORD003486,CAMP0077,3.83,Web,snapchat
A000369,ORD004107,CAMP0248,23.18,Mobile,meta
A000370,ORD004178,CAMP0221,251.5,Mobile,meta
A000371,ORD001655,CAMP0197,101.43,Web,snapchat
A000372,ORD002771,CAMP0001,66.93,Web,snapchat
A000373,ORD001195,CAMP0115,19.02,Mobile,tiktok
A000374,ORD003998,CAMP0093,8.88,Web,snapchat
A000375,ORD001280,CAMP0202,18.61,Mobile,snapchat
A000376,ORD003225,CAMP0005,77.22,Retail,google
A000377,ORD001133,CAMP0048,21.51,Web,meta
A000378,ORD001178,CAMP0019,66.0,Mobile,meta
A000379,ORD004363,CAMP0191,26.52,Web,tiktok
A000380,ORD004919,CAMP0102,223.4,Web,snapchat
A000381,ORD001652,CAMP0076,358.92,Retail,meta
A000382,ORD000228,CAMP0134,779.46,Web,meta
A000383,ORD001852,CAMP0246,54.6,Retail,snapchat
A000384,ORD001986,CAMP0177,60.57,Mobile,snapchat
A000385,ORD003031,CAMP0214,39.18,Retail,meta
A000386,ORD003325,CAMP0229,57.26,Mobile,meta
A000387,ORD002737,CAMP0066,43.62,Mobile,google
A000388,ORD001141,CAMP0214,203.46,Retail,tiktok
A000389,ORD001257,CAMP0072,511.12,Web,google
A000390,ORD000567,CAMP0158,49.4,Web,tiktok
A000391,ORD004226,CAMP0103,109.63,Web,snapchat
A000392,ORD004700,CAMP0149,964.52,Mobile,tiktok
A000393,ORD002664,CAMP0050,33.26,Web,tiktok
A000394,ORD000731,CAMP0117,109.35,Web,snapchat
A000395,ORD000891,CAMP0143,634.75,Web,tiktok
A000396,ORD000456,CAMP0063,22.1,Web,meta
A000397,ORD000720,CAMP0014,54.3,Web,meta
A000398,ORD002635,CAMP0097,148.67,Web,snapchat
A000399,ORD000746,CAMP0145,25.71,Retail,tiktok
A000400,ORD001240,CAMP0107,11.37,Retail,tiktok
A000401,ORD004089,CAMP0192,378.99,Web,google
A000402,ORD004529,CAMP0096,24.3,Web,tiktok
A000403,ORD003058,CAMP0144,7.54,Web,meta
A000404,ORD003878,CAMP0229,90.36,Mobile,snapchat
A000405,ORD002425,CAMP0126,3.07,Web,tiktok
A000406,ORD004310,CAMP0248,29.24,Mobile,tiktok
A000407,ORD000970,CAMP0009,21.27,Mobile,snapchat
A000408,ORD000517,CAMP0138,12.95,Web,google
A000409,ORD000888,CAMP0250,24.86,Web,meta
A000410,ORD003907,CAMP0234,6.97,Web,google
A000411,ORD001264,CAMP0169,68.37,Web,snapchat
A000412,ORD002132,CAMP0141,66.9,Web,snapchat
A000413,ORD004138,CAMP0215,129.74,Web,tiktok
A000414,ORD002898,CAMP0121,18.1,Mobile,meta
A000415,ORD004335,CAMP0119,40.23,Web,tiktok
A000416,ORD003565,CAMP0004,25.32,Web,tiktok
A000417,ORD000723,CAMP0208,57.26,Web,tiktok
A000418,ORD001679,CAMP0161,33.87,Web,meta
A000419,ORD004945,CAMP0052,53.27,Web,google
A000420,ORD002139,CAMP0041,44.0,Web,meta
A000421,ORD000992,CAMP0095,156.72,Mobile,tiktok
A000422,ORD002429,CAMP0205,32.33,Web,google
A000423,ORD004594,CAMP0186,13.39,Mobile,tiktok
A000424,ORD004637,CAMP0141,97.54,Mobile,meta
A000425,ORD002525,CAMP0118,8.79,Mobile,snapchat
A000426,ORD004649,CAMP0004,59.28,Mobile,snapchat
A000427,ORD000715,CAMP0043,17.43,Retail,snapchat
A000428,ORD003293,CAMP0031,101.12,Retail,tiktok
A000429,ORD001416,CAMP0240,9.8,Web,meta
A000430,ORD004542,CAMP0106,53.13,Web,tiktok
A000431,ORD001354,CAMP0010,169.35,Mobile,meta
A000432,ORD003438,CAMP0063,29.4,Web,snapchat
A000433,ORD000162,CAMP0039,18.38,Web,snapchat
A000434,ORD004120,CAMP0242,15.09,Web,snapchat
A000435,ORD002021,CAMP0159,97.42,Web,tiktok
A000436,ORD002962,CAMP0036,370.52,Web,tiktok
A000437,ORD002647,CAMP0162,21.15,Mobile,tiktok
A000438,ORD004737,CAMP0076,42.51,Web,snapchat
A000439,ORD002392,CAMP0006,12.43,Mobile,google
A000440,ORD004554,CAMP0093,18.58,Retail,google
A000441,ORD003830,CAMP0165,147.06,Web,snapchat
A000442,ORD000529,CAMP0040,119.75,Mobile,meta
A000443,ORD001056,CAMP0183,53.15,Web,meta
A000444,ORD004564,CAMP0123,125.75,Web,meta
A000445,ORD002921,CAMP0230,44.79,Retail,tiktok
A000446,ORD003071,CAMP0176,71.31,Web,meta
A000447,ORD001538,CAMP0052,44.44,Web,tiktok
A000448,ORD002945,CAMP0198,42.1,Mobile,google
A000449,ORD003673,CAMP0084,46.58,Mobile,google
A000450,ORD004943,CAMP0080,13.94,Mobile,snapchat
A000451,ORD002104,CAMP0237,21.51,Mobile,snapchat
A000452,ORD000123,CAMP0173,90.57,Mobile,tiktok
A000453,ORD000207,CAMP0116,125.75,Web,google
A000454,ORD003855,CAMP0059,13.39,Mobile,snapchat
A000455,ORD001785,CAMP0223,16.32,Mobile,tiktok
A000456,ORD001946,CAMP0035,3.66,Mobile,tiktok
A000457,ORD002335,CAMP0107,65.23,Web,google
A000458,ORD001758,CAMP0243,36.6,Mobile,snapchat
A000459,ORD003677,CAMP0029,73.2,Mobile,snapchat
A000460,ORD001442,CAMP0026,208.0,Web,snapchat
A000461,ORD001350,CAMP0136,6.97,Web,snapchat
A000462,ORD004504,CAMP0072,8.19,Mobile,tiktok
A000463,ORD001336,CAMP0157,67.66,Mobile,google
A000464,ORD000662,CAMP0092,67.67,Mobile,snapchat
A000465,ORD000892,CAMP0138,743.35,Web,google
A000466,ORD001193,CAMP0119,30.04,Mobile,tiktok
A000467,ORD002481,CAMP0062,94.08,Mobile,tiktok
A000468,ORD000265,CAMP0217,149.2,Retail,snapchat
A000469,ORD000931,CAMP0236,103.52,Mobile,google
A000470,ORD004177,CAMP0019,30.69,Mobile,snapchat
A000471,ORD003583,CAMP0091,14.7,Mobile,google
A000472,ORD001455,CAMP0094,52.08,Web,meta
A000473,ORD000295,CAMP0197,40.86,Web,tiktok
A000474,ORD004574,CAMP0203,66.15,Web,snapchat
A000475,ORD004305,CAMP0066,24.5,Mobile,google
A000476,ORD002213,CAMP0001,482.26,Mobile,snapchat
A000477,ORD004850,CAMP0106,447.88,Mobile,meta
A000478,ORD000155,CAMP0224,14.68,Mobile,snapchat
A000479,ORD003299,CAMP0061,22.77,Web,meta
A000480,ORD003221,CAMP0014,17.71,Web,meta
A000481,ORD000460,CAMP0105,27.24,Mobile,meta
A000482,ORD001394,CAMP0055,125.44,Mobile,meta
A000483,ORD004343,CAMP0216,209.85,Web,tiktok
A000484,ORD001197,CAMP0236,75.29,Web,tiktok
A000485,ORD000236,CAMP0044,66.98,Retail,tiktok
A000486,ORD003096,CAMP0162,233.44,Web,meta
