date,visit,add_to_cart,checkout,purchase
2025-06-13,5168,891,322,247
2025-06-12,13987,2345,1341,820
2025-06-11,13892,936,515,339
2025-06-10,18142,2545,1235,866
2025-06-09,2045,295,136,114
2025-06-08,5096,1251,499,343
2025-06-07,8911,1844,942,615
2025-06-06,17644,3271,1809,1564
2025-06-05,15336,1013,331,265
2025-06-04,6512,959,264,143
2025-06-03,9304,1970,476,374
2025-06-02,13576,1923,558,455
2025-06-01,4977,369,153,104
2025-05-31,11643,1896,696,410
2025-05-30,9924,1815,593,341
2025-05-29,3627,528,224,201
2025-05-28,2875,703,260,232
2025-05-27,15315,3489,1170,761
2025-05-26,3745,434,213,137
2025-05-25,3626,452,201,110
2025-05-24,8751,1759,745,427
2025-05-23,9210,713,298,156
2025-05-22,14543,2259,833,458
2025-05-21,5246,523,172,101
2025-05-20,9287,1813,471,277
2025-05-19,5308,1020,374,267
2025-05-18,19396,3528,1408,796
2025-05-17,18813,4401,1997,1786
2025-05-16,1894,325,167,150
2025-05-15,19787,2103,720,467
2025-05-14,16807,4076,1214,733
2025-05-13,5187,1023,222,189
2025-05-12,3462,585,274,204
2025-05-11,12171,787,300,152
2025-05-10,3757,555,188,115
2025-05-09,16665,2783,1187,940
2025-05-08,1971,245,116,96
2025-05-07,4336,1017,378,191
2025-05-06,13858,2232,1220,721
2025-05-05,9491,2267,470,329
2025-05-04,10857,1780,534,344
2025-05-03,4720,1002,227,192
2025-05-02,4999,538,239,155
2025-05-01,13090,1506,470,287
2025-04-30,19778,4577,2578,1871
2025-04-29,15571,2916,836,663
2025-04-28,351,78,24,15
2025-04-27,2143,415,222,179
2025-04-26,12053,2245,568,493
2025-04-25,3536,764,393,323
2025-04-24,16097,1163,641,326
2025-04-23,5473,277,85,43
2025-04-22,18661,4612,2065,1097
2025-04-21,14965,2958,1642,1082
2025-04-20,18635,1783,568,399
2025-04-19,3697,705,147,82
2025-04-18,3060,672,205,104
2025-04-17,19525,1312,426,304
2025-04-16,13340,1972,547,320
2025-04-15,19903,3737,2095,1049
2025-04-14,9774,1687,686,430
2025-04-13,7972,692,268,156
2025-04-12,2484,520,225,125
2025-04-11,16771,3543,1620,1129
2025-04-10,4689,531,196,160
2025-04-09,15645,1870,867,574
2025-04-08,8384,1152,504,352
2025-04-07,19603,2907,973,617
2025-04-06,4477,313,120,96
2025-04-05,19980,4332,2391,1592
2025-04-04,8940,1718,938,593
2025-04-03,18444,4324,2342,1525
2025-04-02,10367,1954,620,553
2025-04-01,1588,182,51,34
2025-03-31,9066,1473,326,241
2025-03-30,11223,2141,1081,847
2025-03-29,3891,890,205,147
2025-03-28,17705,4160,2186,1239
2025-03-27,18912,3529,1201,897
2025-03-26,10274,1437,402,231
2025-03-25,4352,974,516,336
2025-03-24,19494,2432,1418,1195
2025-03-23,16880,1084,446,359
2025-03-22,339,29,8,6
2025-03-21,3765,771,211,172
2025-03-20,10989,2366,1062,741
2025-03-19,16439,1974,627,470
2025-03-18,16400,2195,710,371
2025-03-17,5222,817,322,255
2025-03-16,13805,2880,1641,977
2025-03-15,3159,526,288,185
2025-03-14,9032,2071,808,585
2025-03-13,11289,1382,655,354
2025-03-12,17914,3148,839,747
2025-03-11,1810,394,102,83
2025-03-10,15009,2947,1479,1000
2025-03-09,9700,2198,472,294
2025-03-08,1717,268,101,60
2025-03-07,9732,1600,733,561
2025-03-06,15994,3044,1767,1456
2025-03-05,15904,3009,1038,740
2025-03-04,19440,1969,544,487
2025-03-03,545,66,14,7
2025-03-02,19669,4096,1256,737
2025-03-01,11210,1900,945,780
2025-02-28,16223,1905,979,793
2025-02-27,8837,1704,468,273
2025-02-26,14528,751,448,349
