adid,platform,cost,clicks,impressions,conversions,roas
AD000109,Meta,14946.19,3213,796824,43,0.89
AD000110,Google,17228.06,4512,929472,77,4.41
AD000111,Google,395.46,3853,1036457,48,3.82
AD000112,Snapchat,11754.95,660,38280,28,4.25
AD000113,Snapchat,17648.24,1473,360885,50,3.73
AD000114,Google,7408.67,4117,333477,122,1.76
AD000115,Meta,12084.89,4297,885182,103,3.3
AD000116,Snapchat,19532.72,4790,483790,176,2.96
AD000117,Snapchat,15899.87,2206,379432,92,4.59
AD000118,Google,18285.3,783,180090,32,4.23
AD000119,Meta,18952.11,1953,226548,46,3.85
AD000120,Snapchat,6539.35,2845,133715,43,4.5
AD000121,Snapchat,3616.99,2869,324197,85,3.39
AD000122,Snapchat,6268.66,1180,343380,18,1.67
AD000123,Google,16817.59,2246,172942,23,2.51
AD000124,Snapchat,877.82,2848,637952,53,3.11
AD000125,Snapchat,14836.74,3882,729816,147,2.74
AD000126,Meta,12908.64,2367,269838,86,1.16
AD000127,Snapchat,16055.06,1550,40300,56,2.75
AD000128,Meta,3332.93,1574,135364,50,1.6
AD000129,Snapchat,879.81,4712,1399464,149,2.39
AD000130,Meta,5483.46,3346,378098,150,1.12
AD000131,Snapchat,4304.63,3534,247380,139,3.23
AD000132,Snapchat,11290.49,1493,220964,50,1.61
AD000133,Google,7399.12,3101,728735,42,3.2
AD000134,Google,9124.26,2615,517770,96,4.17
AD000135,Google,4406.45,4225,274625,104,0.8
AD000136,Snapchat,4633.05,323,16473,3,3.84
AD000137,Snapchat,12619.3,4918,329506,70,4.09
AD000138,Meta,15815.16,2461,196880,49,3.48
AD000139,Google,18788.71,3181,232213,56,2.13
AD000140,Meta,16508.86,3096,340560,100,2.49
AD000141,Snapchat,9254.67,3577,608090,132,1.04
AD000142,Snapchat,1539.06,773,75754,38,1.83
AD000143,Snapchat,14292.03,50,8050,1,0.82
AD000144,Meta,2831.43,2515,168505,86,4.71
AD000145,Meta,7127.75,1252,338040,40,3.53
AD000146,Google,4956.4,546,129402,11,1.87
AD000147,Snapchat,19858.13,2909,642889,50,2.61
AD000148,Meta,9537.7,3704,914888,118,4.92
AD000149,Google,1537.71,4328,895896,121,1.42
AD000150,Snapchat,8932.87,3121,533691,143,3.58
AD000151,Google,9087.89,455,18655,9,0.79
AD000152,Meta,15548.98,2930,123060,67,2.61
AD000153,Snapchat,10878.61,1204,282940,23,3.61
AD000154,Meta,1162.13,941,156206,15,2.68
AD000155,Google,12370.92,4287,1187499,65,3.63
AD000156,Meta,2823.8,2107,162239,64,1.38
AD000157,Meta,5213.26,1177,45903,54,1.04
AD000158,Google,19053.05,1963,49075,31,2.02
AD000159,Snapchat,337.87,40,10000,1,1.51
AD000160,Google,5766.84,4488,673200,93,1.66
AD000161,Google,18201.58,841,93351,30,2.52
AD000162,Meta,12688.91,4424,1057336,54,2.02
AD000163,Snapchat,338.89,2939,731811,116,4.4
AD000164,Google,16361.96,2088,346608,72,0.74
AD000165,Snapchat,14070.76,4261,392012,178,1.39
AD000166,Snapchat,2893.02,729,137052,13,3.5
AD000167,Snapchat,17422.01,1508,180960,29,4.02
AD000168,Google,10156.44,893,180386,15,3.37
AD000169,Meta,19886.73,454,123942,5,2.85
AD000170,Google,13058.7,533,66092,19,3.99
AD000171,Meta,9777.0,513,85671,6,4.2
AD000172,Google,9812.88,1623,22722,60,4.88
AD000173,Snapchat,13797.45,4215,391995,176,3.28
AD000174,Snapchat,17607.32,3025,378125,76,1.51
AD000175,Meta,19065.38,3798,493740,107,0.69
AD000176,Google,11161.39,4397,804651,123,1.08
AD000177,Meta,177.64,1682,200158,29,2.2
AD000178,Google,8516.11,2834,844532,99,3.22
AD000179,Meta,8821.97,127,10033,2,0.96
AD000180,Meta,15387.28,378,105462,5,1.94
AD000181,Meta,2793.0,858,199056,42,4.78
AD000182,Google,18994.36,3351,643392,51,1.21
AD000183,Google,19064.02,4333,970592,97,1.72
AD000184,Google,3948.12,1880,285760,25,0.99
AD000185,Snapchat,2070.12,3090,886830,149,4.52
AD000186,Meta,3701.27,1762,392926,73,0.82
AD000187,Google,13299.55,794,218350,16,2.54
AD000188,Meta,10038.53,3861,953667,49,0.64
AD000189,Snapchat,17209.6,4806,644004,230,3.44
AD000190,Google,311.19,3721,792573,185,2.14
AD000191,Meta,4336.86,3172,631228,86,4.45
AD000192,Snapchat,6500.3,696,151032,34,0.81
AD000193,Snapchat,13131.58,228,12996,2,0.55
AD000194,Meta,8696.58,2691,764244,31,2.94
AD000195,Meta,4671.32,4020,976860,135,3.99
AD000196,Meta,15588.96,1683,77418,64,4.49
AD000197,Snapchat,14445.77,3335,586960,96,3.39
AD000198,Meta,10302.64,4278,782874,135,2.62
AD000199,Google,13133.18,3002,759506,65,1.9
AD000200,Google,10795.51,3842,341938,185,1.35
AD000201,Google,15193.4,1214,145680,59,3.1
AD000202,Snapchat,18530.87,902,45100,29,2.4
AD000203,Snapchat,19357.38,3436,360780,155,0.93
AD000204,Google,9836.57,4957,1135153,105,2.93
AD000205,Snapchat,3581.49,3099,818136,106,2.6
AD000206,Google,4072.42,2315,203720,70,0.87
AD000207,Google,8002.25,4839,948444,178,3.11
AD000208,Google,1307.25,244,30500,11,4.55
AD000209,Google,3671.49,4624,365296,211,3.34
AD000210,Meta,8128.37,1721,192752,21,3.07
AD000211,Google,16623.12,4767,877128,159,3.33
AD000212,Google,15916.31,2507,82731,116,1.52
AD000213,Snapchat,3265.28,602,77658,9,1.44
AD000214,Snapchat,17361.75,355,78100,13,4.08
AD000215,Snapchat,5299.31,332,12948,13,0.91
AD000216,Meta,4174.14,1807,355979,27,1.56
AD000217,Google,4742.34,4950,821700,213,1.12
AD000218,Google,14038.22,561,60027,25,1.35
AD000219,Google,4172.45,2548,219128,42,3.08
AD000220,Meta,14056.78,785,230005,28,1.24
AD000221,Meta,4569.49,3039,626034,71,3.7
AD000222,Meta,14081.71,2418,529542,91,1.82
AD000223,Meta,7277.63,4869,63297,90,1.38
AD000224,Meta,5667.63,2018,147314,71,2.65
AD000225,Google,6082.94,4855,1238025,120,1.82
AD000226,Google,3179.75,1676,184360,27,3.13
AD000227,Snapchat,19198.08,458,69616,20,1.28
AD000228,Snapchat,8529.34,751,66088,11,4.02
AD000229,Snapchat,280.25,1756,442512,57,3.93
AD000230,Google,18931.72,4584,705936,82,3.97
AD000231,Google,5084.24,889,214249,19,0.7
AD000232,Meta,11046.46,3977,874940,136,0.95
AD000233,Meta,13774.4,924,206976,19,0.74
AD000234,Snapchat,14890.04,3988,554332,198,4.97
AD000235,Meta,13665.14,3780,956340,112,4.9
AD000236,Google,7377.63,372,110112,5,2.03
AD000237,Snapchat,10976.67,4590,1087830,59,3.07
AD000238,Meta,5271.49,4039,977438,95,1.48
AD000239,Google,7719.37,3838,978690,44,3.85
AD000240,Snapchat,12357.87,3038,574182,40,4.03
AD000241,Google,5024.62,1248,364416,43,4.47
AD000242,Google,5894.23,2734,363622,114,4.75
AD000243,Meta,11249.73,74,6882,2,3.3
AD000244,Meta,2106.33,2368,466496,53,2.17
AD000245,Google,17266.57,3996,739260,90,3.12
AD000246,Snapchat,4410.98,4698,1315440,75,4.87
AD000247,Meta,417.2,2967,667575,66,4.55
AD000248,Snapchat,12171.06,3310,774540,57,4.98
AD000249,Snapchat,6620.04,2269,363040,42,2.35
AD000250,Meta,19304.96,4787,598375,139,4.93
AD000251,Meta,11613.45,4571,1225028,208,3.84
AD000252,Snapchat,8650.4,4499,512886,137,4.82
AD000253,Snapchat,19915.31,4775,286500,129,2.68
AD000254,Snapchat,7378.15,3260,270580,148,4.98
AD000255,Meta,11177.82,3270,447990,126,2.01
AD000256,Snapchat,1861.86,4312,970200,67,2.32
AD000257,Meta,9419.22,4022,1190512,191,0.74
AD000258,Google,14246.5,3577,869211,90,0.97
AD000259,Meta,3562.45,204,19380,3,4.35
AD000260,Google,12391.5,4959,163647,81,0.6
AD000261,Google,15946.49,2290,391590,25,4.21
AD000262,Meta,2795.08,2443,407981,24,4.09
AD000263,Snapchat,731.25,3842,288150,173,1.86
AD000264,Google,6120.27,2496,309504,30,2.3
AD000265,Snapchat,8402.58,171,29583,6,0.78
AD000266,Google,16217.64,488,11712,12,3.06
AD000267,Google,13665.5,2346,495006,42,4.56
AD000268,Meta,6896.24,2084,204232,32,0.51
AD000269,Snapchat,10694.63,3674,731126,181,2.58
AD000270,Google,19293.27,764,9168,23,4.28
AD000271,Meta,19382.57,4924,802612,163,3.39
AD000272,Meta,1834.48,3063,845388,65,4.58
AD000273,Snapchat,2686.59,3065,824485,134,3.66
AD000274,Google,15374.42,479,50295,23,1.24
AD000275,Snapchat,18120.78,605,91355,8,2.81
AD000276,Meta,839.36,3313,626157,151,4.93
AD000277,Google,4668.46,4416,808128,59,2.19
AD000278,Snapchat,9361.85,1087,300012,27,2.64
AD000279,Google,12922.81,376,36848,6,1.35
AD000280,Snapchat,7637.16,1230,359160,50,2.51
AD000281,Snapchat,15665.26,4492,1347600,127,2.74
AD000282,Snapchat,6253.97,1298,48026,30,4.7
AD000283,Snapchat,1877.35,4059,1002573,97,0.65
AD000284,Meta,4678.62,1189,313896,33,2.29
AD000285,Snapchat,11292.41,1551,113223,22,1.79
AD000286,Google,12269.3,4456,926848,188,3.52
AD000287,Snapchat,5096.55,3278,727716,102,3.04
AD000288,Meta,486.98,964,60732,29,1.52
AD000289,Meta,5081.61,1880,88360,93,2.27
AD000290,Meta,3618.13,1011,235563,19,1.88
AD000291,Snapchat,14979.87,89,25721,3,1.94
AD000292,Snapchat,10469.6,207,49266,6,4.68
AD000293,Google,19997.85,707,67165,15,1.94
AD000294,Snapchat,15350.79,4806,422928,215,2.98
AD000295,Snapchat,18290.69,2215,598050,43,4.05
AD000296,Google,8014.17,3241,139363,144,3.32
AD000297,Google,17411.2,1748,309396,23,3.57
AD000298,Meta,4514.33,17,4284,0,4.06
AD000299,Meta,2741.32,4272,546816,93,1.36
AD000300,Snapchat,1799.65,2545,506455,27,2.3
AD000301,Meta,4743.79,2463,435951,64,4.97
AD000302,Meta,355.11,1856,508544,89,4.42
AD000303,Meta,12039.6,4592,1060752,212,4.1
AD000304,Meta,10602.61,2354,649704,106,0.56
AD000305,Snapchat,14745.5,2948,235840,139,1.19
AD000306,Google,6095.58,3948,631680,139,4.51
AD000307,Google,4559.98,1363,366647,48,1.91
AD000308,Snapchat,6686.67,2705,143365,37,3.93
AD000309,Snapchat,17879.26,272,54944,8,4.75
AD000310,Meta,15068.15,440,7480,17,0.52
AD000311,Meta,11989.04,3834,222372,126,0.82
AD000312,Google,799.34,894,39336,35,4.33
AD000313,Snapchat,18148.74,1209,334893,21,3.61
AD000314,Snapchat,7029.18,3214,491742,47,3.17
AD000315,Snapchat,13157.89,1906,463158,19,3.85
AD000316,Snapchat,9622.71,320,52160,11,1.28
AD000317,Google,17072.33,2702,597142,34,1.23
AD000318,Snapchat,13450.2,4621,1182976,174,4.62
AD000319,Meta,17365.17,3978,163098,109,2.93
AD000320,Meta,12471.48,4861,768038,101,1.07
AD000321,Meta,2059.25,1086,77106,48,0.59
AD000322,Meta,12590.68,2973,517302,30,3.06
AD000323,Meta,865.63,2485,293230,25,3.33
AD000324,Snapchat,6131.19,698,150070,12,1.75
AD000325,Google,6437.75,1895,394160,79,4.14
AD000326,Google,14464.03,2528,65728,45,4.67
AD000327,Google,2556.12,1538,384500,55,2.87
AD000328,Meta,209.25,850,221850,22,1.24
AD000329,Snapchat,16597.57,85,6545,3,1.56
AD000330,Snapchat,6531.73,3471,1010061,170,2.57
AD000331,Meta,6884.99,4713,273354,53,4.19
AD000332,Google,15899.19,558,126108,18,2.44
AD000333,Google,10680.35,1173,148971,37,2.99
AD000334,Google,16867.9,65,18850,1,1.83
AD000335,Google,1789.9,3851,127083,86,2.3
AD000336,Google,341.8,4601,262257,115,2.19
AD000337,Google,2915.91,759,79695,15,1.38
AD000338,Meta,19332.09,4675,874225,125,2.82
AD000339,Snapchat,8691.89,4155,390570,121,1.52
AD000340,Meta,9704.83,3642,295002,161,1.77
AD000341,Google,19633.63,4939,1289079,164,3.04
AD000342,Snapchat,15765.3,1085,43400,25,3.47
AD000343,Google,7628.81,1157,313547,17,2.25
AD000344,Snapchat,4799.53,2772,268884,48,1.45
AD000345,Google,11927.07,4960,1359040,245,2.38
AD000346,Snapchat,13698.97,3943,1005465,162,4.55
AD000347,Google,11163.65,2096,607840,85,4.1
AD000348,Snapchat,3558.69,1536,205824,62,4.05
AD000349,Google,19743.79,4794,1169736,215,3.25
AD000350,Google,2838.37,518,120176,18,3.72
AD000351,Google,4031.17,871,208169,39,1.85
AD000352,Meta,13944.02,3201,918687,71,2.43
AD000353,Google,14862.02,2344,569592,106,1.87
AD000354,Google,13216.68,3059,171304,111,4.5
AD000355,Google,13018.5,4020,385920,83,0.52
AD000356,Google,11583.57,3755,901200,59,1.37
AD000357,Google,4605.26,1661,335522,23,4.78
AD000358,Meta,12889.65,3529,578756,110,4.58
AD000359,Meta,1624.09,776,142784,13,2.18
AD000360,Meta,19138.06,127,14478,2,4.53
AD000361,Google,7678.08,2495,516465,41,0.73
AD000362,Meta,769.5,2803,81287,36,1.75
AD000363,Meta,6390.19,1403,304451,27,1.67
AD000364,Meta,10009.56,246,12792,9,4.36
AD000365,Google,8276.56,1406,199652,47,4.6
AD000366,Snapchat,13179.1,2245,399610,63,2.17
AD000367,Meta,15169.78,4665,233250,201,3.14
AD000368,Google,6897.52,2151,468918,28,2.3
AD000369,Meta,1631.69,1507,393327,67,4.61
AD000370,Meta,2248.92,4469,773137,114,4.84
AD000371,Google,8444.51,418,91124,15,4.45
AD000372,Meta,12916.15,1605,94695,27,4.12
AD000373,Snapchat,11170.85,4251,1037244,203,2.38
AD000374,Meta,16977.14,1951,341425,27,2.21
AD000375,Google,14570.57,1568,241472,66,2.42
AD000376,Google,1652.64,1126,237586,20,3.17
AD000377,Google,853.54,327,75537,15,2.06
AD000378,Snapchat,12968.07,1253,372141,24,4.05
AD000379,Google,11573.46,2217,458919,41,4.61
AD000380,Google,11113.68,4784,923312,108,3.42
AD000381,Meta,18620.69,724,168692,26,3.91
AD000382,Snapchat,11852.07,671,97966,26,3.07
AD000383,Snapchat,11027.49,4909,363266,61,4.29
AD000384,Google,14895.75,112,32816,4,3.58
AD000385,Google,14591.74,3529,395248,127,2.22
AD000386,Meta,9480.14,3073,663768,102,2.09
AD000387,Meta,3681.33,4862,860574,156,4.91
AD000388,Google,9050.59,2612,33956,120,1.86
AD000389,Meta,19304.52,3130,751200,35,3.64
AD000390,Google,13444.13,4524,1207908,173,3.7
AD000391,Meta,17798.44,2503,115138,65,4.08
AD000392,Snapchat,17017.14,2448,102816,111,1.81
AD000393,Meta,10574.97,3117,59223,74,2.1
AD000394,Meta,4483.54,2259,675441,89,4.77
AD000395,Meta,335.22,344,94600,6,3.31
AD000396,Meta,5460.79,4767,190680,49,4.24
AD000397,Meta,17354.24,2108,189720,34,4.85
AD000398,Meta,4029.44,1318,154206,48,4.79
AD000399,Meta,5576.68,4121,1017887,88,3.68
AD000400,Meta,3835.08,67,4891,0,3.51
